"vertex","lon","lat"
1,-88.3170184874716,56.2788751535861
2,-87.5056819738039,55.6798574161694
3,-87.0820987133814,55.8586201263235
4,-87.8934352270491,56.4576378637402
5,-88.3170184874716,56.2788751535861
