"core_id","campaign","stock_kgm2","national_percentile"
"FS-01","FS_2025_mineral",14.2630045832,89.1117478510029
"FS-02","FS_2025_mineral",8.3815614382,65.0429799426934
"FS-03","FS_2025_mineral",4.2223031185,23.7822349570201
"FS-04","FS_2025_mineral",8.7587719396,67.3352435530086
"FS-05","FS_2025_mineral",6.105449784,44.6991404011461
"PM-03-A","PM_2024_peat",10.01686145,73.0659025787966
