"k","n_clusters_found","smallest_cluster_pct","largest_cluster_pct","evenness"
3,3,18.537166214543,53.751547490942,0.911822820650814
4,4,18.2769150748216,37.8820594492956,0.965259838085858
5,5,14.419095892523,29.7667046343376,0.979355671422758
6,6,4.00469526241678,26.9882843105314,0.942428526144139
8,8,3.87963209946288,20.9728444494228,0.941586913995568
10,10,1.28357041434326,18.3060416272464,0.918770932622001
