"core_id","prior_longitude","our_longitude","prior_total_ocd_naive","proper_stock_gcm2","ratio_proper_to_naive","core_length_cm"
"FS-01",-87.6282,-87.6282,0.142630045,1.42630045832,10.0000000583327,30
"FS-02",-87.62825,-87.62825,0.083815614,0.83815614382,10.0000000455762,30
"FS-03",-87.87181,-87.87181,0.042223031,0.42223031185,10.000000043815,30
"FS-04",-87.79556,-87.79556,0.087587719,0.87587719396,10.0000000452118,30
"FS-05",-87.75622,-87.75622,0.061054498,0.6105449784,9.9999999737939,30
"PM-01-A",-87.67978,-87.67978,0.0210883,0.30578035,14.5,14.5
"PM-02-A",-87.65064,-87.65064,0.02295224,0.30833445,13.4337411076217,20.7
"PM-03-A",-87.67839,-87.67839,0.1316941,1.0194275475,7.74087485696018,30.725
