"group","n","factor_est","implied_divisor","ratio_min","ratio_max","resid_max_abs","om_range","factor_name"
"FS_2025_mineral",15,0.553961899780733,1.80517829907764,0.523809523809524,0.625,0.0633199895395384,"0.80-15.60","1/1.8 (0.556)"
"PM_2024_peat",7,0.580133751490131,1.72374042611967,0.579335793357934,0.581521739130435,0.0269747249877881,"2.71-73.10","van Bemmelen (0.58 = 1/1.724)"
