"core_id","campaign","stock_kgm2_supplied","stock_kgm2_harmonised","pct_change"
"FS-01","FS_2025_mineral",14.2630045832,14.2630045832,0
"FS-02","FS_2025_mineral",8.3815614382,8.3815614382,0
"FS-03","FS_2025_mineral",4.2223031185,4.2223031185,0
"FS-04","FS_2025_mineral",8.7587719396,8.7587719396,0
"FS-05","FS_2025_mineral",6.105449784,6.105449784,0
"PM-01-A","PM_2024_peat",3.0578035,2.68813834912091,-12.0892382678969
"PM-02-A","PM_2024_peat",3.0833445,2.7105916367749,-12.0892382678969
"PM-03-A","PM_2024_peat",10.01686145,8.80589920234438,-12.0892382678969
