OID_,PEDON_ID,LAYER_ID,U_DEPTH,L_DEPTH,T_SAND,T_SILT,T_CLAY,VC_SAND,C_SAND,M_SAND,F_SAND,VF_SAND,FIBRE,BULK_DEN,RETN_HYGR,RETN_0KP,RETN_33KP,RETN_1500K
1,0020118,1,0,3,42,44,14,0,1,17,7,17, , , , , , 
2,0020118,2,3,8,44,45,11,0,2,19,6,16, , , , , , 
3,0020118,3,8,18,32,36,32,1,2,13,5,11, , , , , , 
4,0020118,4,18,25,29,29,42,1,2,12,5,9, , , , , , 
5,0020118,5,25,40,33,24,33,1,2,14,6,10, , , , , , 
6,0020118,6,40,60,39,35,26,0,3,16,8,11, , , , , , 
7,0020118,7,60,78,34,36,30,1,2,13,7,10, , , , , , 
8,0020118,8,78,93,61,22,17,0,1,35,11,14, , , , , , 
9,0020118,9,93, ,44,22,34,1,2,23,8,10, , , , , , 
10,0020120,1,0,7,29,35,36,0,2,12,7,7, , , , , , 
11,0020120,2,7,12,37,36,27,1,3,15,8,10, , , , , , 
12,0020120,3,12,17,50,39,11,1,3,22,10,14, , , , , , 
13,0020120,4,17,26,30,38,32,0,2,13,5,11, , , , , , 
14,0020120,5,26,38,20,61,19,0,1,7,2,10, , , , , , 
15,0020120,6,38,61,21,64,15,0,0,7,3,10, , , , , , 
16,0020120,7,61,79,19,69,12,0,1,6,2,9, , , , , , 
17,0020120,8,79, ,9,40,51, , , , , , , , , , , 
18,0020294,1,0,14,32,40,28, , , , , , , , , , , 
19,0020294,2,14,29,39,33,28, , , , , , , , , , , 
20,0020294,3,29,62,36,37,27, , , , , , , , , , , 
21,0020294,4,62,106,36,38,26, , , , , , , , , , , 
22,0020294,5,106,140,38,35,29, , , , , , , , , , , 
23,0020295,1,0,16,20,51,29, , , , , , , , , , , 
24,0020295,2,16,40,13,47,40, , , , , , , , , , , 
25,0020295,3,40,62,13,44,43, , , , , , , , , , , 
26,0020295,4,62,78,17,42,41, , , , , , , , , , , 
27,0020295,5,78,120,39,37,24, , , , , , , , , , , 
28,0020297,1,0,13,57,28,15, , , , , , , , , , , 
29,0020297,2,13,34,58,38,24, , , , , , , , , , , 
30,0020297,3,34,61,39,38,23, , , , , , , , , , , 
31,0020297,4,61, ,39,41,20, , , , , , , , , , , 
32,0020300,1,0,23,49,29,22, , , , , , , , , , , 
33,0020300,2,23,50,47,36,17, , , , , , , , , , , 
34,0020300,3,50,65,36,40,24, , , , , , , , , , , 
35,0020300,4,65, ,52,33,15, , , , , , , , , , , 
36,0020301,1,0,11,38,41,21, , , , , , , , , , , 
37,0020301,2,11,22,37,39,24, , , , , , , , , , , 
38,0020301,3,22,48,37,40,23, , , , , , , , , , , 
39,0020301,4,48,70,33,43,24, , , , , , , , , , , 
40,0020301,5,70,92,34,42,24, , , , , , , , , , , 
41,0020303,1,0,16,28,47,25, , , , , , , , , , , 
42,0020303,2,16,28,20,49,31, , , , , , , , , , , 
43,0020303,3,28,62,11,63,26, , , , , , , , , , , 
44,0020303,4,62,100,22,53,25, , , , , , , , , , , 
45,0020305,1,0,10,37,45,18, , , , , , , , , , , 
46,0020305,2,10,15,39,39,22, , , , , , , , , , , 
47,0020305,3,15,30,24,44,32, , , , , , , , , , , 
48,0020305,4,30,70,32,44,24, , , , , , , , , , , 
49,0020306,1,0,14,30,47,23, , , , , , , , , , , 
50,0020306,2,14,28,47,34,19, , , , , , , , , , , 
51,0020306,3,28,38,46,32,22, , , , , , , , , , , 
52,0020306,4,38,52,55,28,17, , , , , , , , , , , 
53,0020306,5,52,63,71,19,10, , , , , , , , , , , 
54,0020306,6,63,74,73,17,10, , , , , , , , , , , 
55,0020306,7,74,100,60,30,10, , , , , , , , , , , 
56,0020306,8,100,107,83,11,6, , , , , , , , , , , 
57,0020307,1,0,12,27,54,19, , , , , , , , , , , 
58,0020307,2,12,40,18,48,34, , , , , , , , , , , 
59,0020307,3,40,50,11,67,22, , , , , , , , , , , 
60,0020307,4,50,70,31,48,21, , , , , , , , , , , 
61,0020308,1,0,22,21,53,26, , , , , , , , , , , 
62,0020308,2,22,42,18,54,28, , , , , , , , , , , 
63,0020308,3,42,75,7,67,26, , , , , , , , , , , 
64,0020308,4,75,105,39,33,28, , , , , , , , , , , 
65,0020310,1,0,10,18,58,24, , , , , , , , , , , 
66,0020310,2,10,16,17,57,26, , , , , , , , , , , 
67,0020310,3,16,35,21,52,27, , , , , , , , , , , 
68,0020310,4,35,50,17,53,30, , , , , , , , , , , 
69,0020310,5,50,75,7,68,25, , , , , , , , , , , 
70,0020310,6,75,90,35,39,26, , , , , , , , , , , 
71,0020310,7,90,120,38,38,24, , , , , , , , , , , 
72,0020310,9,122,150,8,63,29, , , , , , , , , , , 
73,0020311,1,0,12,34,43,23, , , , , , , , , , , 
74,0020311,2,12,26,19,52,29, , , , , , , , , , , 
75,0020311,3,26,60,49,27,24, , , , , , , , , , , 
76,0020311,4,60,98,30,50,20, , , , , , , , , , , 
77,0020311,5,98,150,37,43,20, , , , , , , , , , , 
78,0020398,1,0,20,30,39,31,1,1,12,3,13, , , , , , 
79,0020398,2,20,31,36,36,28,1,2,15,4,14, , , , , , 
80,0020398,3,31,60,25,38,37,1,2,9,3,10, , , , , , 
81,0020401,1,0,11,48,31,21, , , , , , , , , , , 
82,0020401,2,11,21,50,30,20, , , , , , , , , , , 
83,0020401,3,21,55,36,40,24, , , , , , , , , , , 
84,0020401,4,55,120,27,48,25, , , , , , , , , , , 
85,0020401,5,120, ,27,45,28, , , , , , , , , , , 
86,0020403,1,0,14,49,39,12, , , , , , , , , , , 
87,0020403,2,14,29,53,28,19,1,3,24,7,18, , , , , , 
88,0020403,3,29,50,47,36,17, , , , , , , , , , , 
89,0020403,4,50,100,58,30,12,9,6,21,9,12, , , , , , 
90,0020485,1,0,18,30,43,27, , , , , , , , , , , 
91,0020485,2,18,33,32,40,28, , , , , , , , , , , 
92,0020485,3,33,64,31,28,41, , , , , , , , , , , 
93,0020485,4,64,86,37,31,32, , , , , , , , , , , 
94,0020485,5,86,203,38,37,25, , , , , , , , , , , 
95,0020485,6,203, ,41,41,18, , , , , , , , , , , 
96,0020496,1,0,33,40,36,24, , , , , , , , , , , 
97,0020496,2,33,58,39,34,27, , , , , , , , , , , 
98,0020496,3,58, ,25,41,34, , , , , , , , , , , 
99,0020496,4,183, ,36,42,22, , , , , , , , , , , 
100,0020507,1,0,3,26,64,10, , , , , , , , , , , 
101,0020507,2,3,8,24,66,10, , , , , , , , , , , 
102,0020507,3,8,18,26,67,7, , , , , , , , , , , 
103,0020507,4,18,28,23,45,32, , , , , , , , , , , 
104,0020507,5,28,46,45,27,28, , , , , , , , , , , 
105,0020507,6,46,56,39,31,30, , , , , , , , , , , 
106,0020507,7,56,86,40,42,18, , , , , , , , , , , 
107,0020540,2,0,10,48,43,9, , , , , , , , , , , 
108,0020540,3,10,20,45,41,14, , , , , , , , , , , 
109,0020540,4,20,40,47,40,13, , , , , , , , , , , 
110,0020540,5,40,65,36,36,28, , , , , , , , , , , 
111,0020540,6,65,90,33,37,30, , , , , , , , , , , 
112,0020551,1,0,2,23,55,22, , , , , , , , , , , 
113,0020551,2,2,22,41,48,11, , , , , , , , , , , 
114,0020551,3,22,30,38,28,34, , , , , , , , , , , 
115,0020551,4,30,78,43,27,30, , , , , , , , , , , 
116,0020551,5,78,197,37,28,35, , , , , , , , , , , 
117,0020551,6,197,207,38,34,28, , , , , , , , , , , 
118,0020605,1,0,30,25,56,19, , , , , , , , , , , 
119,0020605,2,30,36,31,42,27, , , , , , , , , , , 
120,0020605,3,36,61,31,35,34, , , , , , , , , , , 
121,0020605,4,61,137,34,32,34, , , , , , , , , , , 
122,0020605,5,137,152,34,35,31, , , , , , , , , , , 
123,0020611,1,0,25,31,48,21, , , , , , , , , , , 
124,0020611,2,25,66,26,49,25, , , , , , , , , , , 
125,0020611,3,66, ,22,46,32, , , , , , , , , , , 
126,0020612,1,0,25,40,44,16, , , , , , , , , , , 
127,0020612,2,25,61,38,36,26, , , , , , , , , , , 
128,0020612,3,61, ,27,43,30, , , , , , , , , , , 
129,0020625,1,0,3,68,28,6, , , , , , , , , , , 
130,0020625,2,3,8,66,26,8, , , , , , , , , , , 
131,0020625,3,8,25,77,17,6, , , , , , , , , , , 
132,0020625,4,25,30,72,18,10, , , , , , , , , , , 
133,0020626,1,0,5,34,40,26, , , , , , , , , , , 
134,0020626,2,5,10,29,41,30, , , , , , , , , , , 
135,0020626,3,10,23,25,35,40, , , , , , , , , , , 
136,0020626,4,23,48,15,29,56, , , , , , , , , , , 
137,0020626,5,48,61,12,36,42, , , , , , , , , , , 
138,0020627,1,0,8,48,36,16, , , , , , , , , , , 
139,0020627,2,8,13,64,29,7, , , , , , , , , , , 
140,0020627,3,13,20,52,28,20, , , , , , , , , , , 
141,0020627,4,20,36,31,34,35, , , , , , , , , , , 
142,0020627,5,36,51,27,42,31, , , , , , , , , , , 
143,0020631,1,0,13,19,52,29, , , , , , , , , , , 
144,0020631,2,13,30,18,54,28, , , , , , , , , , , 
145,0020631,3,30,36,20,58,22, , , , , , , , , , , 
146,0020631,4,36,41,26,40,34, , , , , , , , , , , 
147,0020631,5,41,56,27,39,34, , , , , , , , , , , 
148,0020631,6,56,86,30,31,39, , , , , , , , , , , 
149,0020631,7,86,102,29,31,40, , , , , , , , , , , 
150,0020632,1,0,5,15,65,20, , , , , , , , , , , 
151,0020632,2,5,20,18,66,16, , , , , , , , , , , 
152,0020632,3,20,30,13,53,34, , , , , , , , , , , 
153,0020632,4,30,61,17,45,38, , , , , , , , , , , 
154,0020632,5,61,91,21,43,36, , , , , , , , , , , 
155,0020632,6,91,137,22,45,33, , , , , , , , , , , 
156,0020633,1,0,15,23,59,18, , , , , , , , , , , 
157,0020633,2,15,41,21,46,33, , , , , , , , , , , 
158,0020633,3,41, ,7,69,24, , , , , , , , , , , 
159,0020653,5,44,69,7,54,39, , , , , , , , , , , 
160,0020656,1,0,10,36,50,14, , , , , , , , , , , 
161,0020656,2,10,36,36,49,15, , , , , , , , , , , 
162,0020656,3,36,51,36,50,14, , , , , , , , , , , 
163,0020656,4,51,66,18,58,24, , , , , , , , , , , 
164,0020656,5,66,91,26,54,20, , , , , , , , , , , 
165,0020656,6,91,122,22,56,22, , , , , , , , , , , 
166,0020656,7,122,178,32,56,12, , , , , , , , , , , 
167,0020657,1,0,14,81,12,7, , , , , , , , , , , 
168,0020657,2,14,20,71,6,23, , , , , , , , , , , 
169,0020657,3,20,38,85,5,10, , , , , , , , , , , 
170,0020657,4,38,60,88,3,9, , , , , , , , , , , 
171,0020657,5,60,84,88,5,7, , , , , , , , , , , 
172,0020658,1,0,10,88,6,6, , , , , , , , , , , 
173,0020658,2,10,51,91,5,4, , , , , , , , , , , 
174,0020658,3,51,91,92,3,5, , , , , , , , , , , 
175,0020658,4,91,152,91,3,6, , , , , , , , , , , 
176,0020658,5,152,213,93,2,5, , , , , , , , , , , 
177,0020659,1,0,46,36,50,14, , , , , , , , , , , 
178,0020659,2,46,81,53,35,12, , , , , , , , , , , 
179,0020659,3,81,102,6,69,25, , , , , , , , , , , 
180,0020659,4,102,178,3,78,19, , , , , , , , , , , 
181,0020659,5,178,203,11,74,15, , , , , , , , , , , 
182,0020660,1,0,33,33,38,29, , , , , , , , , , , 
183,0020660,2,33,48,39,39,22, , , , , , , , , , , 
184,0020660,3,48,56,44,41,15, , , , , , , , , , , 
185,0020660,4,56,102,47,26,27, , , , , , , , , , , 
186,0020660,5,102,127,44,33,23, , , , , , , , , , , 
187,0020660,6,127,157,43,31,26, , , , , , , , , , , 
188,0020661,1,0,36,48,34,18, , , , , , , , , , , 
189,0020661,2,36,51,50,29,21, , , , , , , , , , , 
190,0020661,3,51,71,49,26,25, , , , , , , , , , , 
191,0020661,4,71,97,48,30,22, , , , , , , , , , , 
192,0020661,5,97,127,49,30,21, , , , , , , , , , , 
193,0020661,6,127,152,50,28,22, , , , , , , , , , , 
194,0020665,1,0,38,64,20,16, , , , , , , , , , , 
195,0020665,2,38,46,65,19,16, , , , , , , , , , , 
196,0020665,3,46,76,59,22,19, , , , , , , , , , , 
197,0020665,4,76,122,66,17,17, , , , , , , , , , , 
198,0020665,5,122,157,32,39,29, , , , , , , , , , , 
199,0020665,6,157,183,47,29,24, , , , , , , , , , , 
200,0020666,1,0,56,86,8,6, , , , , , , , , , , 
201,0020666,2,56,86,98, ,5, , , , , , , , , , , 
202,0020666,3,86,122,81,5,14, , , , , , , , , , , 
203,0020666,4,122,152,88,4,8, , , , , , , , , , , 
204,0020666,5,152,168,38,38,24, , , , , , , , , , , 
205,0020669,1,0,5,31,51,18, , , , , , , , , , , 
206,0020669,2,5,23,44,35,21, , , , , , , , , , , 
207,0020669,3,23,51,35,44,21, , , , , , , , , , , 
208,0020669,4,51,102,46,34,20, , , , , , , , , , , 
209,0020669,5,102,127,47,33,20, , , , , , , , , , , 
210,0020669,6,127, ,48,32,20, , , , , , , , , , , 
211,0020671,1,0,43,32,44,24, , , , , , , , , , , 
212,0020671,2,43,53,36,42,22, , , , , , , , , , , 
213,0020671,3,53,79,30,45,25, , , , , , , , , , , 
214,0020671,4,79,117,37,41,22, , , , , , , , , , , 
215,0020671,5,117,152,19,38,43, , , , , , , , , , , 
216,0020671,6,152, ,11,38,51, , , , , , , , , , , 
217,0020672,1,0,25,13,39,48, , , , , , , , , , , 
218,0020672,2,25,30,36,26,38, , , , , , , , , , , 
219,0020672,3,30,61,13,28,59, , , , , , , , , , , 
220,0020672,4,61,91,4,30,66, , , , , , , , , , , 
221,0020672,5,91,122,3,24,73, , , , , , , , , , , 
222,0020673,1,0,41,6,56,38, , , , , , , , , , , 
223,0020673,2,41,48,10,66,24, , , , , , , , , , , 
224,0020673,3,48,71,2,42,56, , , , , , , , , , , 
225,0020673,4,71,97,1,42,57, , , , , , , , , , , 
226,0020673,5,97,112,8,66,26, , , , , , , , , , , 
227,0020675,1,0,46,7,66,27, , , , , , , , , , , 
228,0020675,2,46,71,4,61,35, , , , , , , , , , , 
229,0020675,3,71,102,0,76,24, , , , , , , , , , , 
230,0020675,4,102,152,2,75,23, , , , , , , , , , , 
231,0020675,5,152,168,1,82,17, , , , , , , , , , , 
232,0020681,2,0,10,49,31,20, , , , , , , , , , , 
233,0020681,3,10,30,57,29,14, , , , , , , , , , , 
234,0020681,4,30,36,48,36,16, , , , , , , , , , , 
235,0020681,5,36,74,43,21,36, , , , , , , , , , , 
236,0020681,6,74,114,41,23,36, , , , , , , , , , , 
237,0020681,7,114,157,43,26,31, , , , , , , , , , , 
238,0020681,8,157,211,44,24,32, , , , , , , , , , , 
239,0020687,1,0,8,59,27,14, , , , , , , , , , , 
240,0020687,2,8,15,60,29,11, , , , , , , , , , , 
241,0020687,3,15,23,27,30,43, , , , , , , , , , , 
242,0020687,4,23,38,12,33,55, , , , , , , , , , , 
243,0020687,5,38,66,13,39,48, , , , , , , , , , , 
244,0020687,6,66, ,48,20,32, , , , , , , , , , , 
245,0020690,1,0,10,33,43,24, , , , , , , , , , , 
246,0020690,2,10,20,42,33,25, , , , , , , , , , , 
247,0020690,3,20,41,35,34,31, , , , , , , , , , , 
248,0020690,4,41,53,36,36,28, , , , , , , , , , , 
249,0020690,5,53,71,57,28,21, , , , , , , , , , , 
250,0020690,6,71,102,40,36,24, , , , , , , , , , , 
251,0020690,7,102,122,38,36,26, , , , , , , , , , , 
252,0020700,2,0,10,58,28,14, , , , , , , , , , , 
253,0020700,3,10,18,55,31,14, , , , , , , , , , , 
254,0020700,4,18,28,40,23,37, , , , , , , , , , , 
255,0020700,5,28,69,41,23,36, , , , , , , , , , , 
256,0020700,6,69,120,47,26,27, , , , , , , , , , , 
257,0020700,7,120,168,48,25,27, , , , , , , , , , , 
258,0020702,1,0,8,53,37,10,2,6,16,7,22, , , , , , 
259,0020702,2,8,18,53,31,16, , , , , , , , , , , 
260,0020702,3,18,51,42,28,30,1,6,16,7,12, , , , , , 
261,0020702,4,51,102,48,22,30,2,6,19,7,14, , , , , , 
262,0020702,5,102,122,58,18,24,1,7,22,9,19, , , , , , 
263,0020702,6,122,163,48,30,22,2,7,17,8,14, , , , , , 
264,0020703,1,0,13,32,55,13, , , , , , , , , , , 
265,0020703,2,13,28,29,53,18, , , , , , , , , , , 
266,0020703,3,28,48,26,44,30, , , , , , , , , , , 
267,0020703,4,48,69,22,47,31, , , , , , , , , , , 
268,0020703,5,69,84,40,33,27, , , , , , , , , , , 
269,0020703,6,84,135,50,30,20, , , , , , , , , , , 
270,0020703,7,135, ,30,48,22, , , , , , , , , , , 
271,0020707,1,0,25,36,35,29, , , , , , , , , , , 
272,0020707,2,25,33,34,41,25, , , , , , , , , , , 
273,0020707,3,33,51,47,26,27,2,6,17,7,15, , , , , , 
274,0020707,4,51,81,47,29,24,1,3,19,8,16, , , , , , 
275,0020707,5,81,127,44,29,27,2,5,16,7,14, , , , , , 
276,0020710,2,5,41,1,18,81, , , , , , , , , , , 
277,0020710,3,41,61,1,42,58, , , , , , , , , , , 
278,0020710,4,61,71,1,57,42, , , , , , , , , , , 
279,0020710,5,71,81,1,51,48, , , , , , , , , , , 
280,0020710,6,81,122,19,52,29, , , , , , , , , , , 
281,0020711,1,0,5,88,8,4, ,10,44,17,17, , , , , , 
282,0020711,2,5,13,92,8,0, ,9,49,17,17, , , , , , 
283,0020711,3,13,36,93,6,1, ,7,51,17,18, , , , , , 
284,0020711,4,36,64,93,6,1, ,6,54,14,19, , , , , , 
285,0020711,5,64,147,97,2,1, ,7,58,6,16, , , , , , 
286,0020711,6,147,168,92,3,5, ,6,58,17,11, , , , , , 
287,0020713,1,0,10,95,4,1, ,10,40,42,3, , , , , , 
288,0020713,2,10,25,97,3,0, ,5,47,43,2, , , , , , 
289,0020713,3,25,41,98,2,0, ,7,42,48,1, , , , , , 
290,0020713,4,41,51,97,2,1, ,9,39,45,3, , , , , , 
291,0020713,5,51,66,98,2,0, ,9,27,49,3, , , , , , 
292,0020713,6,66,122,92,6,2, ,10,32,46,4, , , , , , 
293,0020713,7,122,168,93,5,2, ,18,26,44,5, , , , , , 
294,0020715,2,0,10,30,55,15, , , , , , , , , , , 
295,0020715,3,10,18,30,58,12, , , , , , , , , , , 
296,0020715,4,18,20,30,33,37, , , , , , , , , , , 
297,0020715,5,20,51,32,31,37, , , , , , , , , , , 
298,0020715,6,51,81,44,28,28, , ,17, ,14, , , , , , 
299,0020715,7,81,112,44,30,26, , ,17, ,14, , , , , , 
300,0020716,2,0,18,9,36,55, , , , , , , , , , , 
301,0020716,3,18,38,3,29,68, , , , , , , , , , , 
302,0020716,4,38,64,10,59,31, , , , , , , , , , , 
303,0020716,5,64,74,8,75,17, , , , , , , , , , , 
304,0020719,1,0,5,55,22,23,1,5,21,8,20, , , , , , 
305,0020719,2,5,25,50,23,27,1,5,20,8,16, , , , , , 
306,0020719,3,25,46,52,25,23,1,4,24,9,14, , , , , , 
307,0020719,4,46,91,50,24,26, , , , , , , , , , , 
308,0020719,5,91,122,44,31,25, ,5,22,5,12, , , , , , 
309,0020719,6,122,198,43,26,31,1,2,17,5,18, , , , , , 
310,0020723,1,0,3,34,46,20, , , , , , , , , , , 
311,0020723,2,3,10,30,56,14, , , , , , , , , , , 
312,0020723,3,10,15,27,63,10, , , , , , , , , , , 
313,0020723,4,15,23,26,54,20, , , , , , , , , , , 
314,0020723,5,23,46,37,39,24, , , , , , , , , , , 
315,0020723,6,46,66,36,40,24, , , , , , , , , , , 
316,0020723,7,66,99,44,29,27, , , , , , , , , , , 
317,0020723,8,99,135,52,28,20, , , , , , , , , , , 
318,0020726,2,0,23,18,70,12, , , , , , , , , , , 
319,0020726,3,23,30,17,39,44, , , , , , , , , , , 
320,0020726,4,30,51,28,27,45, , , , , , , , , , , 
321,0020726,5,51,127,35,38,27, , , , , , , , , , , 
322,0020726,6,127,152,38,48,14, , , , , , , , , , , 
323,0020726,7,152, ,29,34,37, , , , , , , , , , , 
324,0020727,1,0,4,21,52,27, , , , , , , , , , , 
325,0020727,2,4,20,35,56,9, , , , , , , , , , , 
326,0020727,3,20,52,47,33,20, , , , , , , , , , , 
327,0020727,4,52,76,14,62,24, , , , , , , , , , , 
328,0020727,5,76,124,34,33,33, , , , , , , , , , , 
329,0020729,2,8,36,15,58,27, , , , , , , , , , , 
330,0020729,5,69,89,12,61,27, , , , , , , , , , , 
331,0020729,8,142, ,24,56,20, , , , , , , , , , , 
332,0020732,1,0,23,47,36,17, , , , , , , , , , , 
333,0020732,2,23,46,54,30,16, , , , , , , , , , , 
334,0020732,3,46,64,68,18,14, , , , , , , , , , , 
335,0020732,4,64,81,66,20,14, , , , , , , , , , , 
336,0020732,5,81,110,65,22,13, , , , , , , , , , , 
337,0020732,6,110, ,41,32,27, , , , , , , , , , , 
338,0020733,2,3,10,90,2,8, , , , , , , , , , , 
339,0020733,5,61,122,98,2,0, , , , , , , , , , , 
340,0020736,1,0,3,28,60,12, , , , , , , , , , , 
341,0020736,2,3,8,24,57,19, , , , , , , , , , , 
342,0020736,3,8,21,23,69,8, , , , , , , , , , , 
343,0020738,1,0,6,9,28,63, , , , , , , , , , , 
344,0020738,2,6,25,8,31,61, , , , , , , , , , , 
345,0020738,3,25,51,7,33,60, , , , , , , , , , , 
346,0020738,4,51,76,7,29,64, , , , , , , , , , , 
347,0020748,1,0,8,46,35,19, , , , , , , , , , , 
348,0020749,1,0,5,25,39,36, , , , , , , , , , , 
349,0020749,2,5,15,22,61,17, , , , , , , , , , , 
350,0020749,3,15,35,15,22,63, , , , , , , , , , , 
351,0020749,4,35,86,11,30,59, , , , , , , , , , , 
352,0020750,1,0,15,26,50,24, , , , , , , , , , , 
353,0020750,2,15,36,23,40,37, , , , , , , , , , , 
354,0020750,3,36,76,24,47,29, , , , , , , , , , , 
355,0020750,4,76,91,23,34,39, , , , , , , , , , , 
356,0020751,1,0,8,21,53,26, , , , , , , , , , , 
357,0020751,2,8,15,35,45,20, , , , , , , , , , , 
358,0020751,3,15,25,29,46,25, , , , , , , , , , , 
359,0020751,4,25,41,13,38,49, , , , , , , , , , , 
360,0020751,5,41, ,12,31,57, , , , , , , , , , , 
361,0020752,1,0,13,30,36,34, , , , , , , , , , , 
362,0020752,2,13,33,32,33,35, , , , , , , , , , , 
363,0020752,3,33,61,35,34,31, , , , , , , , , , , 
364,0020752,4,61, ,30,37,33, , , , , , , , , , , 
365,0020753,1,0,8,41,37,22, , , , , , , , , , , 
366,0020753,2,8,18,38,34,28, , , , , , , , , , , 
367,0020753,3,18,43,33,40,27, , , , , , , , , , , 
368,0020753,4,43, ,28,47,25, , , , , , , , , , , 
369,0020754,1,0,10,16,49,35, , , , , , , , , , , 
370,0020754,2,10,25,26,30,44, , , , , , , , , , , 
371,0020754,3,25,41,18,35,47, , , , , , , , , , , 
372,0020755,1,0,4,35,29,36, , , , , , , , , , , 
373,0020755,2,4,13,36,15,49, , , , , , , , , , , 
374,0020755,3,13,64,32,31,37, , , , , , , , , , , 
375,0020755,4,64,76,32,32,36, , , , , , , , , , , 
376,0020757,1,0,10,16, ,35, , , , , , , , , , , 
377,0020757,2,10,25,26, ,44, , , , , , , , , , , 
378,0020757,3,25,41,18, ,47, , , , , , , , , , , 
379,0020758,1,0,5,29,47,24, , , , , , , , , , , 
380,0020758,2,5,10,35,40,25, , , , , , , , , , , 
381,0020758,3,10,30,21,44,35, , , , , , , , , , , 
382,0020758,4,30,66,24,54,22, , , , , , , , , , , 
383,0020758,5,66,91,38,32,30, , , , , , , , , , , 
384,0020758,6,91,122,38,32,30, , , , , , , , , , , 
385,0020758,7,122,147,44,34,22, , , , , , , , , , , 
386,0020760,2,0,5,32,57,11, , , , , , , , , , , 
387,0020760,3,5,10,33,58,9, , , , , , , , , , , 
388,0020760,4,10,25,39,54,7, , , , , , , , , , , 
389,0020760,5,25,46,32,40,28, , , , , , , , , , , 
390,0020760,6,46, ,43,29,28, , , , , , , , , , , 
391,0020760,7,102, ,62,22,16, , , , , , , , , , , 
392,0020761,2,5,20,38,38,24, , , , , , , , , , , 
393,0020761,3,20,51,36,39,25, , , , , , , , , , , 
394,0020761,4,51,61,35,40,25, , , , , , , , , , , 
395,0020762,1,0,20,14,37,49, , , , , , , , , , , 
396,0020762,2,20,46,9,40,51, , , , , , , , , , , 
397,0020762,3,46,76,9,50,41, , , , , , , , , , , 
398,0020762,4,76, ,4,40,56, , , , , , , , , , , 
399,0020763,1,0,15,18,43,39, , , , , , , , , , , 
400,0020763,2,15,36,15,40,45, , , , , , , , , , , 
401,0020763,3,36,61,11,45,44, , , , , , , , , , , 
402,0020763,4,61, ,9,42,49, , , , , , , , , , , 
403,0020765,1,0,13,23,31,46, , , , , , , , , , , 
404,0020765,2,13,28,12,32,56, , , , , , , , , , , 
405,0020765,3,28,51,14,28,58, , , , , , , , , , , 
406,0020765,4,51,76,12,40,48, , , , , , , , , , , 
407,0020765,5,76, ,23,42,35, , , , , , , , , , , 
408,0020766,1,0,8,22,41,37, , , , , , , , , , , 
409,0020766,2,8,13,26,41,33, , , , , , , , , , , 
410,0020766,3,13,30,41,16,43, , , , , , , , , , , 
411,0020766,4,30,51,9,33,58, , , , , , , , , , , 
412,0020766,5,51,91,7,32,61, , , , , , , , , , , 
413,0020766,6,91, ,10,46,44, , , , , , , , , , , 
414,0020767,1,0,13,32,46,22, , , , , , , , , , , 
415,0020767,2,13,30,35,38,27, , , , , , , , , , , 
416,0020767,3,30,51,34,39,27, , , , , , , , , , , 
417,0020767,4,51,76,41,38,21, , , , , , , , , , , 
418,0020767,5,76,107,49,32,19, , , , , , , , , , , 
419,0020769,2,0,5,35,60,5, , , , , , , , , , , 
420,0020769,3,5,20,37,58,5, , , , , , , , , , , 
421,0020769,4,20,25,59,40,1, , , , , , , , , , , 
422,0020771,2,0,5,24,67,9, , , , , , , , , , , 
423,0020771,3,5,10,27,62,10, , , , , , , , , , , 
424,0020771,4,10,20,38,49,13, , , , , , , , , , , 
425,0020771,5,20,46,39,19,42, , , , , , , , , , , 
426,0020771,6,46,76,46,32,22, , , , , , , , , , , 
427,0020771,7,76, ,66,24,10, , , , , , , , , , , 
428,0020772,1,0,15,22,48,30, , , , , , , , , , , 
429,0020772,2,15,30,15,49,36, , , , , , , , , , , 
430,0020772,3,30,51,14,48,38, , , , , , , , , , , 
431,0020772,4,51,69,25,38,37, , , , , , , , , , , 
432,0020772,5,69,112,35,38,27, , , , , , , , , , , 
433,0020772,6,112, ,22,60,18, , , , , , , , , , , 
434,0020773,1,0,5,6,52,42, , , , , , , , , , , 
435,0020773,2,5,10,8,57,35, , , , , , , , , , , 
436,0020773,3,10,18,4,41,55, , , , , , , , , , , 
437,0020773,4,18,43,1,26,73, , , , , , , , , , , 
438,0020773,5,43,61,1,32,67, , , , , , , , , , , 
439,0020773,6,61,76,1,31,68, , , , , , , , , , , 
440,0020773,7,76,91,0,37,63, , , , , , , , , , , 
441,0020774,1,0,15,34,49,17, , , , , , , , , , , 
442,0020774,2,15,28,36,38,26, , , , , , , , , , , 
443,0020774,3,28,38,33,44,23, , , , , , , , , , , 
444,0020774,4,38,64,45,27,28, , , , , , , , , , , 
445,0020774,5,64,91,50,29,21, , , , , , , , , , , 
446,0020774,6,91,152,39,36,25, , , , , , , , , , , 
447,0020775,1,0,5,26,39,35, , , , , , , , , , , 
448,0020775,2,5,13,24,34,42, , , , , , , , , , , 
449,0020775,3,13,20,23,38,39, , , , , , , , , , , 
450,0020775,4,20,46,16,40,44, , , , , , , , , , , 
451,0020775,5,46,61,12,41,47, , , , , , , , , , , 
452,0020776,1,0,18,22,47,31, , , , , , , , , , , 
453,0020776,2,18,46,17,46,37, , , , , , , , , , , 
454,0020776,3,46, ,27,44,29, , , , , , , , , , , 
