OID_,PEDON_ID,DRAINAGE,PM1_MD_DEP,PM1_PHYS,PM1_LIT_MD,PM1_CHEM,PM1_WEATHR,PM2_MD_DEP,PM2_PHYS,PM2_LIT_MD,PM2_CHEM,PM2_WEATHR,HUMUS_FORM,TABLE_KIND,TABLE_DPTH,ROCK_DPTH,CACO3_DPTH
4380,0210026,moderately well drained,morainal,coarse loamy and coarse silty, ,extremely to strongly acidic,chemical and physical, , , , , , , , , , 
4381,0210027,well drained,morainal,coarse loamy and coarse silty, ,extremely to strongly acidic,chemical and physical, , , , , , , , , , 
4382,0210028,well drained,morainal,coarse loamy and coarse silty, ,extremely to strongly acidic,chemical and physical, , , , , , , , , , 
4383,0210029,well drained,morainal,coarse loamy and coarse silty, ,extremely to strongly acidic,chemical and physical, , , , , , , , , , 
4384,0210030,well drained,morainal,coarse loamy and coarse silty, ,extremely to strongly acidic,chemical and physical, , , , , , , , , , 
4385,0210031,moderately well drained,glacio-fluvial, , , ,chemical and physical, , , , , , , , , , 
4386,0210032,well drained,morainal,coarse loamy and coarse silty, ,extremely to strongly acidic,chemical and physical, , , , , , , , , , 
4387,0210033,imperfectly drained,morainal,coarse loamy and coarse silty, ,extremely to strongly acidic,chemical and physical, , , , , , , , , , 
4388,0210034,well drained,morainal,coarse loamy and coarse silty, ,extremely to strongly acidic,chemical and physical, , , , , , , , , , 
4389,0210035,well drained,morainal,coarse loamy and coarse silty, ,extremely to strongly acidic,chemical and physical, , , , , , , , , , 
4390,0210036, ,glacio-fluvial,sandy,mixed,extremely to strongly acidic,chemical and physical, , , , , , , , , , 
