OID_,PEDON_ID,DRAINAGE,PM1_MD_DEP,PM1_PHYS,PM1_LIT_MD,PM1_CHEM,PM1_WEATHR,PM2_MD_DEP,PM2_PHYS,PM2_LIT_MD,PM2_CHEM,PM2_WEATHR,HUMUS_FORM,TABLE_KIND,TABLE_DPTH,ROCK_DPTH,CACO3_DPTH
1,0020118,moderately well drained,morainal till,fine loamy and fine silty,sedementary - siltstone and mudstone, ,unspecified, , , , , ,terrestrial, , , , 
2,0020120,moderately well drained,morainal till,fine loamy and fine silty,sedementary - siltstone and mudstone, ,unspecified, , , , , ,terrestrial, , , , 
3,0020294,well drained,morainal till,fine loamy and fine silty,mixed,moderately to very strongly calcareous,chemical and physical, , , , , , , , , , 
4,0020295,poorly drained,lacustrine,clayey,sedementary - siltstone and mudstone,weakly calcareous,chemical and physical,lacustrine,clayey, ,moderately to very strongly calcareous,chemical and physical, , , , , 
5,0020297,well drained, ,fine loamy and fine silty,sedementary - siltstone and mudstone,moderately to very strongly calcareous,chemical and physical, , , , , , , , , , 
6,0020300,well drained,morainal till,fine loamy and fine silty,sedementary - siltstone and mudstone,moderately to very strongly calcareous,chemical and physical, , , , , , , , , , 
7,0020301,well drained,morainal till,fine loamy and fine silty,undifferentiated,moderately to very strongly calcareous,chemical and physical, , , , , , , , , , 
8,0020302,well drained,morainal till,fine loamy and fine silty,undifferentiated,moderately to very strongly calcareous,chemical and physical, , , , , , , , , , 
9,0020303,well drained,morainal till,fine loamy and fine silty,mixed,moderately to very strongly calcareous,chemical and physical, , , , , , , , , , 
10,0020305,well drained,morainal till,fine loamy and fine silty,sedementary - siltstone and mudstone,moderately to very strongly calcareous,chemical and physical, , , , , , , , , , 
11,0020306,well drained,fluvial,coarse loamy and coarse silty,undifferentiated,weakly calcareous,unspecified, , , , , , , , , , 
12,0020307,well drained,fluvio-lacustrine,fine loamy and fine silty,undifferentiated,moderately to very strongly calcareous,unspecified,morainal till,fine loamy and fine silty, ,moderately to very strongly calcareous,unspecified, , , , , 
13,0020308,well drained,fluvio-lacustrine,fine loamy and fine silty,undifferentiated,weakly calcareous,unspecified,morainal till,fine loamy and fine silty, ,moderately to very strongly calcareous,unspecified, , , , , 
14,0020310,moderately well drained,fluvio-lacustrine,fine loamy and fine silty,sedementary - siltstone and mudstone,moderately to very strongly calcareous,chemical and physical, , , , , , ,perched, , , 
15,0020311,well drained,morainal till,fine loamy and fine silty,undifferentiated,moderately to very strongly calcareous,chemical and physical, , , , , , , , , , 
16,0020398,well drained,lacustrine,fine loamy and fine silty,undifferentiated,moderately to very strongly calcareous,unspecified,morainal till,clayey, ,weakly calcareous,unspecified, , , , , 
17,0020401,well drained,morainal till,fine loamy and fine silty,mixed,moderately to very strongly calcareous,chemical and physical, , , , , , , , , , 
18,0020403,well drained,fluvial,skeletal,mixed,moderately to very strongly calcareous,chemical and physical, , , , , , , , , , 
19,0020485,well drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
20,0020496,well drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
21,0020507,well drained,glacio-fluvial, ,undifferentiated, , ,morainal till, ,undifferentiated, , , , , , , 
22,0020540, ,morainal till, ,undifferentiated, , , , , , , , , , , , 
23,0020551,well drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
24,0020605,well drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
25,0020611,well drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
26,0020612,well drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
27,0020625, ,glacio-fluvial, ,sedementary - siltstone and mudstone, , , , , , , , , , , , 
28,0020626, ,lacustrine, ,undifferentiated, , , , , , , , , , , , 
29,0020627, ,fluvial, ,undifferentiated, , , , , , , , , , , , 
30,0020631,well drained,fluvial, ,undifferentiated, , , , , , , , , , , , 
31,0020632,well drained,lacustrine, ,undifferentiated, , , , , , , , , , , , 
32,0020633,well drained,residual, ,undifferentiated, , , , , , , , , , , , 
33,0020653,well drained,lacustrine, ,undifferentiated, , , , , , , , , , , , 
34,0020656,well drained,glacio-fluvial, ,undifferentiated, , , , , , , , , , , , 
35,0020657,rapidly drained,eolian, ,undifferentiated, , , , , , , , , , , , 
36,0020658,well drained,eolian, ,undifferentiated, , , , , , , , , , , , 
37,0020659,well drained,fluvial, ,undifferentiated, , , , , , , , , , , , 
38,0020660,well drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
39,0020661,well drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
40,0020665,well drained,fluvial, ,undifferentiated, , ,morainal till, ,undifferentiated, , , , , , , 
41,0020666,moderately well drained,eolian, ,undifferentiated, , ,morainal till, ,undifferentiated, , , , , , , 
42,0020669,well drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
43,0020671,well drained,fluvial, ,undifferentiated, , ,lacustrine, ,undifferentiated, , , , , , , 
44,0020672,moderately well drained,lacustrine, ,undifferentiated, , , , , , , , , , , , 
45,0020673,well drained,lacustrine, ,undifferentiated, , ,fluvial, ,undifferentiated, , , , , , , 
46,0020675,well drained,fluvio-lacustrine, ,undifferentiated, , , , , , , , , , , , 
47,0020681,well drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
48,0020687,well drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
49,0020690,well drained,fluvio-lacustrine, ,undifferentiated, , , , , , , , , , , , 
50,0020700,well drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
51,0020702,well drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
52,0020703,well drained,glacio-fluvial, ,undifferentiated, , , , , , , , , , , , 
53,0020707,moderately well drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
54,0020710,poorly drained,lacustrine, ,undifferentiated, , ,fluvial, ,undifferentiated, , , , , , , 
55,0020711,moderately well drained,eolian, ,undifferentiated, , , , , , , , , ,1.4, , 
56,0020713,well drained,eolian, ,undifferentiated, , , , , , , , , , , , 
57,0020715,poorly drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
58,0020716,poorly drained,lacustrine, ,undifferentiated, , ,fluvial, ,undifferentiated, , , , , , , 
59,0020719, ,morainal till, ,undifferentiated, , , , , , , , , , , , 
60,0020723,well drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
61,0020725,moderately well drained,lacustrine, ,undifferentiated, , , , , , , , , , , , 
62,0020726,well drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
63,0020727,moderately well drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
64,0020729,well drained,fluvial, ,undifferentiated, , , , , , , , , , , , 
65,0020732,poorly drained,lacustrine, ,undifferentiated, , ,morainal till, ,undifferentiated, , , , , , , 
66,0020733,well drained,glacio-fluvial, ,undifferentiated, , , , , , , , , , , , 
67,0020736,well drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
68,0020737,well drained,fluvial, ,undifferentiated, , , , , , , , , , , , 
69,0020738,well drained,lacustrine, ,undifferentiated, , , , , , , , , , , , 
70,0020748,well drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
71,0020749,moderately well drained,lacustrine, ,undifferentiated, , , , , , , , , , , , 
72,0020750,moderately well drained,lacustrine, ,undifferentiated, , , , , , , , , , , , 
73,0020751,poorly drained,lacustrine, ,undifferentiated, , , , , , , , , , , , 
74,0020752,well drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
75,0020753,well drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
76,0020754,well drained,lacustrine, ,undifferentiated, , , , , , , , , , , , 
77,0020755,well drained,lacustrine, ,undifferentiated, , , , , , , , , , , , 
78,0020757,well drained,lacustrine, ,undifferentiated, ,unspecified, , , , , , , , , , 
79,0020758,well drained,lacustrine, ,undifferentiated, , ,morainal till, ,undifferentiated, , , , , , , 
80,0020760,well drained,fluvial, ,undifferentiated, , , , , , , , , , , , 
81,0020761,well drained,residual, ,sedementary - siltstone and mudstone, , , , , , , , , , , , 
82,0020762,well drained,lacustro-till, ,undifferentiated, , , , , , , , , , , , 
83,0020763,well drained,lacustrine, ,undifferentiated, , , , , , , , , , , , 
84,0020765,well drained,lacustro-till, ,undifferentiated, , , , , , , , , , , , 
85,0020766,well drained,lacustrine, ,undifferentiated, , ,morainal till, ,undifferentiated, , , , , , , 
86,0020767,well drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
87,0020769,moderately well drained,fluvial, ,sedementary - siltstone and mudstone, , , , , , , , , , , , 
88,0020771,well drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
89,0020772,well drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
90,0020773,well drained,lacustrine, ,undifferentiated, , , , , , , , , , , , 
91,0020774,well drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
92,0020775,well drained,lacustrine, ,undifferentiated, , , , , , , , , , , , 
93,0020776,well drained,fluvio-lacustrine, ,undifferentiated, , , , , , , , , , , , 
94,0020777,well drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
95,0020778,well drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
96,0020779,well drained,morainal till, ,undifferentiated, , ,residual, , , , , , , , , 
97,0020781,well drained,glacio-fluvial, ,undifferentiated, , , , , , , , , , , , 
98,0020785,moderately well drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
99,0020788,moderately well drained, ,fine loamy and fine silty,sedementary - siltstone and mudstone, , , , , , , , , , , , 
100,0020790,well drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
101,0020791,well drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
102,0020795,well drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
103,0020798,well drained,fluvio-lacustrine, ,undifferentiated, , , , , , , , , , , , 
104,0020801,well drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
105,0020803,well drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
106,0020805,well drained,glacio-fluvial,sandy,undifferentiated, , , , , , , , , , , , 
107,0020816, ,morainal till, ,undifferentiated, , , , , , , , , , , , 
108,0020818,well drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
109,0020823,well drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
110,0020824,moderately well drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
111,0020825,well drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
112,0020830,well drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
113,0020831,well drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
114,0020832, ,morainal till, ,undifferentiated, , , , , , , , , , , , 
115,0020833,well drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
116,0020842,well drained,lacustrine, ,undifferentiated, , , , , , , , , , , , 
117,0020843,well drained,glacio-fluvial, ,undifferentiated, , , , , , , , , , , , 
118,0020844,well drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
119,0020851,well drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
120,0020856,moderately well drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
121,0020857,well drained,fluvial, ,undifferentiated, , ,fluvial, ,undifferentiated, , , , , , , 
122,0020858,moderately well drained,fluvial, ,undifferentiated, , ,morainal till, ,undifferentiated, , , , , , , 
123,0020859,moderately well drained,eolian,sandy,undifferentiated, , , , , , , , , , , , 
124,0020862,well drained,morainal till, ,undifferentiated, , , , ,undifferentiated, , , , , , , 
125,0020865,moderately well drained,eolian, ,undifferentiated, , ,fluvial, ,undifferentiated, , , , , , , 
126,0020871,well drained,lacustrine, ,undifferentiated, , , , , , , , , , , , 
127,0020875,well drained,lacustro-till,clayey,undifferentiated,moderately to very strongly calcareous, , , , , , , , , , , 
128,0020878,moderately well drained,fluvial, ,undifferentiated, , , , , , , , , , , , 
129,0020880,well drained,lacustrine, ,undifferentiated, , , , , , , , , , , , 
130,0020900,moderately well drained,eolian, ,undifferentiated, , ,morainal till, ,undifferentiated, , , , , , , 
131,0020901,well drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
132,0020902, ,morainal till,fine loamy and fine silty,sedementary - siltstone and mudstone,weakly calcareous, , , , , , , , , , , 
133,0020903, ,morainal till,fine loamy and fine silty,sedementary - siltstone and mudstone,weakly calcareous, , , , , , , , , , , 
134,0020904, ,morainal till,fine loamy and fine silty,sedementary - siltstone and mudstone,weakly calcareous, , , , , , , , , , , 
135,0020905,poorly drained,lacustrine,clayey,undifferentiated,moderately acidic to neutral, , , , , , , , , , , 
136,0020906,well drained,residual, ,undifferentiated,moderately acidic to neutral, , , , , , , , , , , 
137,0020907,poorly drained,morainal till, ,undifferentiated,moderately acidic to neutral, , , , , , , , , , , 
138,0020908,well drained,lacustrine,clayey,undifferentiated,weakly calcareous, , , , , , , , , , , 
139,0020910,very poorly drained,morainal till,fine loamy and fine silty,undifferentiated,moderately acidic to neutral, , , , , , , , , , , 
140,0020916,moderately well drained,lacustrine,clayey,undifferentiated,moderately acidic to neutral, , , , , , , , , , , 
141,0020917,moderately well drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
142,0020918,well drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
143,0020920, , , ,undifferentiated, , , , , , , , , , , , 
144,0020921,moderately well drained,morainal till,fine loamy and fine silty,sedementary - siltstone and mudstone,weakly calcareous,unspecified, , , , , ,terrestrial, , , , 
145,0020922,well drained,fluvial,fine loamy and fine silty,sedementary - siltstone and mudstone,extremely to strongly acidic,unspecified, , , , , ,terrestrial, , , , 
146,0020923,moderately well drained,lacustro-till,clayey,sedementary - siltstone and mudstone,moderately to very strongly calcareous,unspecified, , , , , ,terrestrial, , , , 
147,0020924,well drained,eolian,sandy,undifferentiated,moderately acidic to neutral, , , , , , , , , , , 
148,0020925,well drained,fluvio-eolian,sandy,undifferentiated,moderately acidic to neutral, , , , , , , , , , , 
149,0020926,well drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
150,0020928,well drained,morainal till,fine loamy and fine silty,undifferentiated,extremely to strongly acidic, , , , , , , , , , , 
151,0020929,imperfectly drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
152,0020930,poorly drained,fluvial, ,undifferentiated, , , , , , , , , , , , 
153,0020934,well drained,eolian, ,undifferentiated, , , , , , , , , , , , 
154,0020937,rapidly drained,fluvio-eolian,sandy,sedementary - siltstone and mudstone,moderately acidic to neutral,unspecified,morainal till,coarse loamy and coarse silty, ,extremely to strongly acidic,unspecified,terrestrial, , , , 
155,0020938,well drained,fluvial, ,undifferentiated, , , , , , , , , , , , 
156,0020939,moderately well drained,fluvial, ,undifferentiated, , , , , , , , , , , , 
157,0020940,well drained,morainal till,coarse loamy and coarse silty,undifferentiated,weakly calcareous, , , , , , , , , , , 
158,0020941,well drained,fluvial, ,undifferentiated, , , , , , , , , , , , 
159,0020942,well drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
160,0020943,well drained,fluvial,sandy,sedementary - siltstone and mudstone,moderately acidic to neutral,unspecified,morainal till,fine loamy and fine silty, ,extremely to strongly acidic,unspecified,terrestrial, , , , 
161,0020944,moderately well drained,fluvio-lacustrine,fine loamy and fine silty,sedementary - siltstone and mudstone,weakly calcareous,unspecified, , , , , ,terrestrial, , , , 
162,0020945,well drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
163,0020948,poorly drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
164,0020949,poorly drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
165,0020954,well drained,glacio-fluvial,coarse loamy and coarse silty,sedementary - siltstone and mudstone,weakly calcareous,chemical and physical, , , , , , , , , , 
166,0020955,moderately well drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
167,0020956,moderately well drained,morainal till,fine loamy and fine silty,undifferentiated, , , , , , , , , , , , 
168,0020957,moderately well drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
169,0020958,moderately well drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
170,0020959,rapidly drained,fluvial,sandy,sedementary - siltstone and mudstone,moderately acidic to neutral, , , , , , , , , , , 
171,0020960,well drained,fluvial, ,undifferentiated, , , , , , , , , , , , 
172,0020964,well drained,eolian,sandy,undifferentiated,moderately acidic to neutral, , , , , , , , , , , 
173,0020965,well drained,eolian, ,undifferentiated, , ,morainal till, ,undifferentiated, , , , , , , 
174,0020966,well drained,eolian, ,undifferentiated, , ,morainal till, ,undifferentiated, , , , , , , 
175,0020967,well drained,eolian, ,undifferentiated, , ,morainal till, ,undifferentiated, , , , , , , 
176,0020968,well drained,eolian, ,undifferentiated, , ,morainal till, ,undifferentiated, , , , , , , 
177,0020969,well drained,eolian, ,undifferentiated, , ,fluvio-marine, , , , , , , , , 
178,0020970,well drained,eolian, ,undifferentiated, , ,morainal till, , , , , , , , , 
179,0020971,well drained,eolian, ,undifferentiated, , ,morainal till, ,undifferentiated, , , , , , , 
180,0020972,well drained,eolian, ,undifferentiated, , , , , , , , , , , , 
181,0020973,well drained,eolian, ,undifferentiated, , , , ,undifferentiated, , , , , , , 
182,0020974,well drained,eolian, ,undifferentiated, , ,morainal till, ,undifferentiated, , , , , , , 
183,0020975,well drained,eolian, ,undifferentiated, , ,fluvio-marine, ,undifferentiated, , , , , , , 
184,0020976,well drained,eolian, ,undifferentiated, , ,morainal till, ,undifferentiated, , , , , , , 
185,0020977,well drained,eolian, ,undifferentiated, , ,fluvio-marine, ,undifferentiated, , , , , , , 
186,0020978,well drained,eolian, ,undifferentiated, , ,fluvio-marine, ,undifferentiated, , , , , , , 
187,0020979,well drained,eolian, ,sedementary - siltstone and mudstone, , ,fluvio-marine, , , , , , , , , 
188,0020986,well drained,fluvial, ,undifferentiated, , , , , , , , , , , , 
189,0020987,well drained,lacustrine, ,undifferentiated,moderately acidic to neutral, ,morainal till,fine loamy and fine silty,undifferentiated,moderately acidic to neutral, , , , , , 
190,0020988,well drained,fluvial, ,undifferentiated, , ,morainal till, ,undifferentiated, , , , , , , 
191,0020989,well drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
192,0020990,well drained,eolian, ,undifferentiated, , ,morainal till, ,undifferentiated, , , , , , , 
193,0020991,well drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
194,0020992,moderately well drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
195,0020993, ,fluvial,coarse loamy and coarse silty,undifferentiated, , , , , , , , , , , , 
196,0020998,rapidly drained,eolian, ,sedementary - siltstone and mudstone, , , , , , , , , , , , 
197,0020999,well drained,lacustrine,clayey,sedementary - siltstone and mudstone,moderately acidic to neutral, , , , , , , , , , , 
198,0021000,well drained,morainal till,fine loamy and fine silty,undifferentiated, , , , , , , , , , , , 
199,0021001,well drained,fluvial,sandy,sedementary - siltstone and mudstone, , ,lacustrine,coarse loamy and coarse silty, , , , , , , , 
200,0021004,well drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
201,0021005,well drained,morainal till,fine loamy and fine silty,undifferentiated,moderately to very strongly calcareous, , , , , , , , , , , 
202,0021006,rapidly drained,fluvial,sandy,sedementary - siltstone and mudstone,moderately acidic to neutral, ,lacustrine, , , , , , , , , 
203,0021007,imperfectly drained,morainal till,fine loamy and fine silty,undifferentiated,moderately acidic to neutral, , , , , , , , , , , 
204,0021008,moderately well drained,lacustro-till, ,undifferentiated, , , , , , , , , , , , 
205,0021009,moderately well drained,morainal till,fine loamy and fine silty,undifferentiated,moderately acidic to neutral, , , , , , , , , , , 
206,0021011,moderately well drained,eolian, ,sedementary - siltstone and mudstone, , ,morainal till, ,undifferentiated, , , , , , , 
207,0021012,moderately well drained,eolian, ,sedementary - siltstone and mudstone, , ,morainal till,coarse loamy and coarse silty,undifferentiated, , , , , , , 
208,0021014,well drained,morainal till, ,sedementary - siltstone and mudstone, , , , , , , , , , , , 
209,0021015,moderately well drained,morainal till,fine loamy and fine silty,undifferentiated,moderately acidic to neutral, , , , , , , , , , , 
210,0021016,rapidly drained,fluvial, ,undifferentiated, , , , , , , , , , , , 
211,0021017,moderately well drained,fluvial,coarse loamy and coarse silty,undifferentiated, , , , , , , , , , , , 
212,0021018,well drained,fluvial,coarse loamy and coarse silty,undifferentiated,moderately to very strongly calcareous, , , , , , , , , , , 
213,0021019,well drained,eolian, ,undifferentiated, , , , , , , , , , , , 
214,0021020,moderately well drained,morainal till,fine loamy and fine silty,undifferentiated,moderately acidic to neutral, , , , , , , , , , , 
215,0021021,moderately well drained,morainal till,coarse loamy and coarse silty,undifferentiated,moderately acidic to neutral, , , , , , , , , , , 
216,0021024,well drained,residual, ,undifferentiated, , , , , , , , , , , , 
217,0021025,moderately well drained,morainal till, ,undifferentiated,extremely to strongly acidic, , , , , , , , , , , 
218,0021026,well drained,morainal till,coarse loamy and coarse silty,undifferentiated,extremely to strongly acidic, ,residual,sandy,undifferentiated,moderately acidic to neutral, , , , , , 
219,0021029,rapidly drained,residual,coarse loamy and coarse silty,undifferentiated, , , , , , , , , , , , 
220,0021030,rapidly drained,residual, ,undifferentiated, , , , , , , , , , , , 
221,0021031,moderately well drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
222,0021032,moderately well drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
223,0021033,well drained,residual, ,undifferentiated, , , , , , , , , , , , 
224,0021034,moderately well drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
225,0021035,moderately well drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
226,0021036,moderately well drained,fluvial, ,undifferentiated, , , , , , , , , , , , 
227,0021037,rapidly drained,morainal till, ,undifferentiated, , ,residual, ,undifferentiated, , , , , , , 
228,0021038,moderately well drained,fluvial, ,undifferentiated, , , , , , , , , , , , 
229,0021039,rapidly drained,fluvial, ,undifferentiated, , , , , , , , , , , , 
230,0021040,rapidly drained,fluvial, ,undifferentiated, , , , , , , , , , , , 
231,0021041,poorly drained,eolian, ,undifferentiated, , , , , , , , , , , , 
232,0021042,moderately well drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
233,0021043,moderately well drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
234,0021044,moderately well drained,lacustrine,fine loamy and fine silty,undifferentiated, , , , , , , , , , , , 
235,0021045,well drained,lacustrine,clayey,undifferentiated, , , , , , , , , , , , 
236,0021046,moderately well drained,morainal till, ,undifferentiated, , ,residual,fine loamy and fine silty,undifferentiated, , , , , , , 
237,0021047,moderately well drained,lacustrine,fine loamy and fine silty,undifferentiated, , , , , , , , , , , , 
238,0021048,moderately well drained,lacustrine, ,undifferentiated,moderately acidic to neutral, , , , , , , , , , , 
239,0021049,moderately well drained,morainal till,fine loamy and fine silty,undifferentiated,extremely to strongly acidic, , , , , , , , , , , 
240,0021050,moderately well drained,morainal till, ,undifferentiated,extremely to strongly acidic, , , , , , , , , , , 
241,0021052,moderately well drained,lacustrine, ,undifferentiated, , , , , , , , , , , , 
242,0021053,moderately well drained,fluvial, ,undifferentiated, , , , , , , , , , , , 
243,0021054,well drained,residual, ,undifferentiated, , , , , , , , , , , , 
244,0021055,moderately well drained,lacustrine, ,undifferentiated, , ,residual, ,undifferentiated, , , , , , , 
245,0021056,moderately well drained,fluvial, ,undifferentiated, , , , , , , , , , , , 
246,0021057,moderately well drained,morainal till, ,undifferentiated, , , , , , , , , , , , 
247,0021058,well drained,morainal till,fine loamy and fine silty,undifferentiated, , , , , , , , , , , , 
248,0021059,well drained,lacustrine,fine loamy and fine silty,sedementary - siltstone and mudstone,moderately to very strongly calcareous,unspecified,morainal till,fine loamy and fine silty, ,weakly calcareous,unspecified, , , , , 
249,0021060,moderately well drained,morainal till,fine loamy and fine silty,sedementary - siltstone and mudstone,weakly calcareous,unspecified, , , , , , , , , , 
250,0021061,moderately well drained,fluvio-lacustrine,fine loamy and fine silty,sedementary - siltstone and mudstone,weakly calcareous,unspecified, , , , , , , , , , 
251,0021062,well drained,morainal till,fine loamy and fine silty,sedementary - siltstone and mudstone,weakly calcareous,unspecified, , , , , , , , , , 
252,0021063,well drained,fluvio-lacustrine,fine loamy and fine silty,sedementary - siltstone and mudstone,weakly calcareous,unspecified,morainal till, , , , , , , , , 
253,0021064,well drained,morainal till,fine loamy and fine silty,sedementary - siltstone and mudstone,weakly calcareous,unspecified, , , , , , , , , , 
254,0021065,moderately well drained,morainal till,fine loamy and fine silty,sedementary - siltstone and mudstone,weakly calcareous,unspecified, , , , , , , , , , 
255,0021066,well drained,morainal till,fine loamy and fine silty,sedementary - siltstone and mudstone,weakly calcareous,unspecified, , , , , , , , , , 
256,0021067,well drained,morainal till,fine loamy and fine silty,sedementary - siltstone and mudstone,weakly calcareous,unspecified, , , , , ,terrestrial, , , , 
257,0021069,moderately well drained,morainal till,fine loamy and fine silty,sedementary - siltstone and mudstone,weakly calcareous,unspecified, , , , , , , , , , 
258,0021070,well drained,morainal till,fine loamy and fine silty,sedementary - siltstone and mudstone,weakly calcareous,unspecified, , , , , , , , , , 
259,0021071,moderately well drained,fluvio-lacustrine,fine loamy and fine silty,sedementary - siltstone and mudstone, ,unspecified, , , , , , , , , , 
260,0021072,imperfectly drained,morainal till,fine loamy and fine silty,sedementary - siltstone and mudstone,weakly calcareous,unspecified, , , , , , , , , , 
261,0021073,well drained,morainal till,fine loamy and fine silty,sedementary - siltstone and mudstone,weakly calcareous,unspecified, , , , , , , , , , 
262,0021074,well drained,morainal till,fine loamy and fine silty,sedementary - siltstone and mudstone,weakly calcareous,unspecified, , , , , , , , , , 
263,0021075,moderately well drained,morainal till,fine loamy and fine silty,undifferentiated,weakly calcareous,unspecified, , , , , , , , , , 
264,0021076,moderately well drained,morainal till,fine loamy and fine silty,undifferentiated,weakly calcareous,unspecified, , , , , , , , , , 
265,0021077,moderately well drained,morainal till,fine loamy and fine silty,undifferentiated,weakly calcareous,unspecified, , , , , , , , , , 
266,0021078,imperfectly drained,glacio-fluvial,sandy,sedementary - siltstone and mudstone,moderately acidic to neutral,unspecified, , , , , ,terrestrial,apparent,0.7, , 
267,0021079, ,morainal till, ,sedementary - siltstone and mudstone, , , , , , , , , , , , 
268,0021081,moderately well drained,lacustrine,undifferentiated,undifferentiated,weakly calcareous, , , , , , , , , , , 
269,0021082,well drained,morainal till,fine loamy and fine silty,undifferentiated,moderately to very strongly calcareous,unspecified, , , , , , , , , , 
270,0021083,well drained,morainal till,fine loamy and fine silty,undifferentiated,weakly calcareous,unspecified, , , , , , , , , , 
271,0021084,well drained,morainal till,fine loamy and fine silty,undifferentiated,weakly calcareous, , , , , , , , , , , 
272,0021085,moderately well drained,morainal till,fine loamy and fine silty,undifferentiated,weakly calcareous, , , , , , , , , , , 
273,0021086,well drained,morainal till,fine loamy and fine silty,undifferentiated,moderately to very strongly calcareous, , , , , , , , , , , 
274,0021087,well drained,lacustrine,fine loamy and fine silty,sedementary - siltstone and mudstone,moderately to very strongly calcareous, ,morainal till, , , , , , , , , 
275,0021088,moderately well drained,morainal till,fine loamy and fine silty,undifferentiated,weakly calcareous, , , , , , , , , , , 
276,0021089,well drained,fluvial,sandy,undifferentiated,moderately acidic to neutral, ,morainal till,fine loamy and fine silty, ,weakly calcareous, , , , , , 
277,0021090,well drained,fluvial, ,sedementary - siltstone and mudstone,moderately to very strongly calcareous, , , , , , , , , , , 
278,0021091,imperfectly drained,fluvial,sandy,undifferentiated, , ,morainal till,fine loamy and fine silty,undifferentiated,moderately acidic to neutral, , , , , , 
279,0021092,well drained,lacustrine,fine loamy and fine silty,sedementary - siltstone and mudstone,moderately to very strongly calcareous,unspecified, , , , , ,terrestrial, , , , 
280,0021093,well drained,fluvial,fine loamy and fine silty,undifferentiated,moderately to very strongly calcareous, , , , , , , , , , , 
281,0021094, ,fluvial,coarse loamy and coarse silty,sedementary - siltstone and mudstone, ,unspecified, , , , , ,terrestrial, , , , 
