OID_,PEDON_ID,LAYER_ID,U_DEPTH,L_DEPTH,MIN_THICK,MAX_THICK,BNDRY_DIST,BNDRY_FORM,HZN_MAS,HZN_SUF,HZN_MOD,HZN_LIT
1,0020118,1,0,3, , , , ,A,h, , 
2,0020118,2,3,8, , , , ,A,e, , 
3,0020118,3,8,18, , , , ,B,nt,1, 
4,0020118,4,18,25, , , , ,B,nt,2, 
5,0020118,5,25,40, , , , ,B,tk, , 
6,0020118,6,40,60, , , , ,B,ck, , 
7,0020118,7,60,78, , , , ,C,k,1, 
8,0020118,8,78,93, , , , ,C,k,2,2
9,0020118,9,93, , , , , ,C,k,3,3
10,0020120,1,0,7, , , , ,A,h, , 
11,0020120,2,7,12, , , , ,A,he, , 
12,0020120,3,12,17, , , , ,A,e, , 
13,0020120,4,17,26, , , , ,B,nt,1, 
14,0020120,5,26,38, , , , ,B,nt,2, 
15,0020120,6,38,61, , , , ,BC, , , 
16,0020120,7,61,79, , , , ,C,k,1, 
17,0020120,8,79, , , , , ,C,k,2, 
18,0020294,1,0,14, ,5, , ,A,p, , 
19,0020294,2,14,29,3,9, , ,B,m, , 
20,0020294,3,29,62, ,5, , ,C,ca, , 
21,0020294,4,62,106, , , , ,C,ks,1, 
22,0020294,5,106,140, , , , ,C,ks,2, 
23,0020295,1,0,16,4,8, , ,A,p, , 
24,0020295,2,16,40,2,5, , ,C,g, , 
25,0020295,3,40,62, ,5, , ,C,kg,1, 
26,0020295,4,62,78,5,7, , ,C,kg,1,2
27,0020295,5,78,120, , , , ,C,kg,2,2
28,0020297,1,0,13, ,7, , ,A,p, , 
29,0020297,2,13,34,5,5, , ,C,ca,1, 
30,0020297,3,34,61, ,6, , ,C,ca,2, 
31,0020297,4,61, , , , , ,C,k, , 
32,0020300,1,0,23,6,5, , ,A,h, , 
33,0020300,2,23,50,8,6, , ,B,mk, , 
34,0020300,3,50,65,6,4, , ,C,ca, , 
35,0020300,4,65, , , , , ,C,k, , 
36,0020301,1,0,11,8,2, , ,A,p, , 
37,0020301,2,11,22, ,2, , ,B,m, , 
38,0020301,3,22,48,4,2, , ,C,k,1, 
39,0020301,4,48,70,8,8, , ,C,k,2, 
40,0020301,5,70,92, , , , ,C,k,3, 
41,0020302,1,0,14, ,5, , ,A,p, , 
42,0020302,2,14,24,7,2, , ,B,m, , 
43,0020302,3,24,54, , , , ,C,ca,2, 
44,0020302,4,54,74,8,4, , ,C,k,1, 
45,0020302,5,74,106, , , , ,C,k,2, 
46,0020303,1,0,16,3,7, , ,A,p, , 
47,0020303,2,16,28, ,6, , ,B,m, , 
48,0020303,3,28,62, ,8, , ,C,ca, , 
49,0020303,4,62,100, , , , ,C,k, , 
50,0020305,1,0,10,9,2, , ,A,p,1, 
51,0020305,2,10,15,3,7, , ,A,p,2, 
52,0020305,3,15,30, ,7, , ,B,m, , 
53,0020305,4,30,70,5, , , ,C,ca, , 
54,0020305,5,70, , , , , ,C,k, , 
55,0020306,1,0,14, ,6, , ,A,h, , 
56,0020306,2,14,28,6,6, , ,B,m, , 
57,0020306,3,28,38,2,1, , ,A,hb, , 
58,0020306,4,38,52,4,1, , ,B,mb, , 
59,0020306,5,52,63,7,5, , ,C,k,1, 
60,0020306,6,63,74,5,3, , ,C,k,2, 
61,0020306,7,74,100,3,8, , ,C,k,3, 
62,0020306,8,100,107, , , , ,C,k,4, 
63,0020307,1,0,12, ,5, , ,A,p, , 
64,0020307,2,12,40,8, , , ,B,m, , 
65,0020307,3,40,50,9,1, , ,C,ca, , 
66,0020307,4,50,70, , , , ,C,k, ,2
67,0020308,1,0,22, ,5, , ,A,p, , 
68,0020308,2,22,42,8,5, , ,B,m, , 
69,0020308,3,42,75, ,8, , ,C,ca, , 
70,0020308,4,75,105, ,5, , ,C,k,1,2
71,0020308,5,105,150, , , , ,C,k,2,2
72,0020310,1,0,10,9,1, , ,A,hsa,1, 
73,0020310,2,10,16,5,7, , ,A,hsa,2, 
74,0020310,3,16,35,9,1, , ,B,msa,1, 
75,0020310,4,35,50,3,7, , ,B,msa,2, 
76,0020310,5,50,75,3,9, , ,C,ksa,1, 
77,0020310,6,75,90,4,6, , ,C,ksa,2, 
78,0020310,7,90,120,8,1, , ,C,ksa,3, 
79,0020310,8,120,122,1,3, , ,C,sk,1, 
80,0020310,9,122,150, , , , ,C,sk,2, 
81,0020311,1,0,12, ,3, , ,A,p, , 
82,0020311,2,12,26,3,7, , ,B,m, , 
83,0020311,3,26,60, , , , ,C,ca, , 
84,0020311,4,60,98,5,5, , ,C,k,1, 
85,0020311,5,98,150, , , , ,C,k,2, 
86,0020398,1,0,20,6,6, , ,A,hk, , 
87,0020398,2,20,31,6,2, , ,B,mk, , 
88,0020398,3,31,60,5, , , ,C,ca,1,2
89,0020398,4,60,75, , , , ,C,k,2,2
90,0020401,1,0,11,9,3, , ,A,h, , 
91,0020401,2,11,21,6,9, , ,B,m, , 
92,0020401,3,21,55,3,7, , ,C,ca,1, 
93,0020401,4,55,120,5,7, , ,C,ca,2, 
94,0020401,5,120, , , , , ,C,ks, , 
95,0020403,1,0,14,4,9, , ,A,h, , 
96,0020403,2,14,29,1,5, , ,B,m, , 
97,0020403,3,29,50,2,3, , ,C,ca, , 
98,0020403,4,50,100, , , , ,C,k, , 
99,0020485,1,0,18, , , , ,A,h, , 
100,0020485,2,18,33, , , , ,A,he, , 
101,0020485,3,33,64, , , , ,B,t, , 
102,0020485,4,64,86, , , , ,BC, , , 
103,0020485,5,86,203, , , , ,C,ca, , 
104,0020485,6,203, , , , , ,C,k, , 
105,0020496,1,0,33, , , , ,A,h, , 
106,0020496,2,33,58, , , , ,B,m, , 
107,0020496,3,58, , , , , ,C,ca, , 
108,0020496,4,183, , , , , ,C,k, , 
109,0020507,1,0,3, , , , ,A,e,1, 
110,0020507,2,3,8, , , , ,B,m, , 
111,0020507,3,8,18, , , , ,A,e,2, 
112,0020507,4,18,28, , , , ,B,t,1, 
113,0020507,5,28,46, , , , ,B,t,2, 
114,0020507,6,46,56, , , , ,BC, , , 
115,0020507,7,56,86, , , , ,C, , ,2
116,0020540,1,-5,0, , , , ,LH, , , 
117,0020540,2,0,10, , , , ,A,e,1, 
118,0020540,3,10,20, , , , ,A,e,2, 
119,0020540,4,20,40, , , , ,AB, , , 
120,0020540,5,40,65, , , , ,B,t, , 
121,0020540,6,65,90, , , , ,C,k, , 
122,0020551,1,0,2, , , , ,A,h, , 
123,0020551,2,2,22, , , , ,A,e, , 
124,0020551,3,22,30, , , , ,B,t,1, 
125,0020551,4,30,78, , , , ,B,t,2, 
126,0020551,5,78,197, , , , ,BC, , , 
127,0020551,6,197,207, , , , ,C,ca, , 
128,0020605,1,0,30, , , , ,A,h, , 
129,0020605,2,30,36, , , , ,A,e, , 
130,0020605,3,36,61, , , , ,B,t,1, 
131,0020605,4,61,137, , , , ,B,t,2, 
132,0020605,5,137,152, , , , ,C,ca, , 
133,0020611,1,0,25, , , , ,A,h, , 
134,0020611,2,25,66, , , , ,B,m, , 
135,0020611,3,66, , , , , ,C,k, , 
136,0020612,1,0,25, , , , ,A,h, , 
137,0020612,2,25,61, , , , ,B,m, , 
138,0020612,3,61, , , , , ,C,k, , 
139,0020625,1,0,3, , , , ,A,e, , 
140,0020625,2,3,8, , , , ,B,f, , 
141,0020625,3,8,25, , , , ,A,e, , 
142,0020625,4,25,30, , , , ,B,tj, , 
143,0020626,1,0,5, , , , ,A,hej, , 
144,0020626,2,5,10, , , , ,A,e, , 
145,0020626,3,10,23, , , , ,B,nt,1, 
146,0020626,4,23,48, , , , ,B,nt,2, 
147,0020626,5,48,61, , , , ,C,ks, , 
148,0020627,1,0,8, , , , ,A,h, , 
149,0020627,2,8,13, , , , ,A,e, , 
150,0020627,3,13,20, , , , ,B,nt,1, 
151,0020627,4,20,36, , , , ,B,nt,2, 
152,0020627,5,36,51, , , , ,C,ks, , 
153,0020631,1,0,13, , , , ,A,h, , 
154,0020631,2,13,30, , , , ,A,he, , 
155,0020631,3,30,36, , , , ,A,e, , 
156,0020631,4,36,41, , , , ,B,t,1, 
157,0020631,5,41,56, , , , ,B,t,2, 
158,0020631,6,56,86, , , , ,BC, , , 
159,0020631,7,86,102, , , , ,C, , ,2
160,0020632,1,0,5, , , , ,A,h, , 
161,0020632,2,5,20, , , , ,A,e, , 
162,0020632,3,20,30, , , , ,BA,a, , 
163,0020632,4,30,61, , , , ,B,t,1, 
164,0020632,5,61,91, , , , ,B,t,2, 
165,0020632,6,91,137, , , , ,C, , , 
166,0020633,1,0,15, , , , ,A,e, , 
167,0020633,2,15,41, , , , ,B,t, , 
168,0020633,3,41, , , , , ,C, , , 
169,0020653,1,0,10, , , , ,A,e, , 
170,0020653,2,10,13, , , , ,AB, , , 
171,0020653,3,13,21, , , , ,B,t, , 
172,0020653,4,21,44, , , , ,BC, , , 
173,0020653,5,44,69, , , , ,C,k, , 
174,0020656,1,0,10, , , , ,A,he,1, 
175,0020656,2,10,36, , , , ,A,he,2, 
176,0020656,3,36,51, , , , ,A,e, , 
177,0020656,4,51,66, , , , ,B,t, , 
178,0020656,5,66,91, , , , ,BC, ,1, 
179,0020656,6,91,122, , , , ,BC, ,2, 
180,0020656,7,122,178, , , , ,C, , , 
181,0020657,1,0,14, , , , ,A,e, , 
182,0020657,2,14,20, , , , ,B,t, , 
183,0020657,3,20,38, , , , ,BC, , , 
184,0020657,4,38,60, , , , ,C,ca,1, 
185,0020657,5,60,84, , , , ,C,ca,2, 
186,0020658,1,0,10, , , , ,A,he, , 
187,0020658,2,10,51, , , , ,A,e, , 
188,0020658,3,51,91, , , , ,B,m, , 
189,0020658,4,91,152, , , , ,AC, , , 
190,0020658,5,152,213, , , , ,C,ca, , 
191,0020659,1,0,46, , , , ,A,he,1, 
192,0020659,2,46,81, , , , ,A,he,2, 
193,0020659,3,81,102, , , , ,B,t, , 
194,0020659,4,102,178, , , , ,BC, , , 
195,0020659,5,178,203, , , , ,C, , , 
196,0020660,1,0,33, , , , ,A,h,1, 
197,0020660,2,33,48, , , , ,A,h,2, 
198,0020660,3,48,56, , , , ,A,e, , 
199,0020660,4,56,102, , , , ,B,t,1, 
200,0020660,5,102,127, , , , ,B,t,2, 
201,0020660,6,127,157, , , , ,C,ca, , 
202,0020661,1,0,36, , , , ,A,h, , 
203,0020661,2,36,51, , , , ,A,ej, , 
204,0020661,3,51,71, , , , ,B,tj, , 
205,0020661,4,71,97, , , , ,C,ca, , 
206,0020661,5,97,127, , , , ,C,k,1, 
207,0020661,6,127,152, , , , ,C,k,2, 
208,0020665,1,0,38, , , , ,A,h, , 
209,0020665,2,38,46, , , , ,A,he, , 
210,0020665,3,46,76, , , , ,B,tj, , 
211,0020665,4,76,122, , , , ,BC,k, , 
212,0020665,5,122,157, , , , ,C,ca, ,2
213,0020665,6,157,183, , , , ,C,k, ,2
214,0020666,1,0,56, , , , ,A,h, , 
215,0020666,2,56,86, , , , ,A,he, , 
216,0020666,3,86,122, , , , ,B,tj, , 
217,0020666,4,122,152, , , , ,C, , , 
218,0020666,5,152,168, , , , ,C,k, ,2
219,0020669,1,0,5, , , , ,A,h, , 
220,0020669,2,5,23, , , , ,B,m, , 
221,0020669,3,23,51, , , , ,C,ca, , 
222,0020669,4,51,102, , , , ,C,k, , 
223,0020669,5,102,127, , , , ,C,ks,1, 
224,0020669,6,127, , , , , ,C,ks,2, 
225,0020671,1,0,43, , , , ,A,h, , 
226,0020671,2,43,53, , , , ,A,e, , 
227,0020671,3,53,79, , , , ,B,tj, , 
228,0020671,4,79,117, , , , ,BC, , , 
229,0020671,5,117,152, , , , ,C,k,1,2
230,0020671,6,152, , , , , ,C,k,2,2
231,0020672,1,0,25, , , , ,A,h, , 
232,0020672,2,25,30, , , , ,A,he, , 
233,0020672,3,30,61, , , , ,B,t,1, 
234,0020672,4,61,91, , , , ,B,t,2, 
235,0020672,5,91,122, , , , ,C, , , 
236,0020673,1,0,41, , , , ,A,h, , 
237,0020673,2,41,48, , , , ,A,e, , 
238,0020673,3,48,71, , , , ,B,t,1, 
239,0020673,4,71,97, , , , ,B,t,2, 
240,0020673,5,97,112, , , , ,BC, , , 
241,0020673,6,112,127, , , , ,C,k, ,2
242,0020675,1,0,46, , , , ,A,h, , 
243,0020675,2,46,71, , , , ,B,t,1, 
244,0020675,3,71,102, , , , ,B,t,2, 
245,0020675,4,102,152, , , , ,BC, , , 
246,0020675,5,152,168, , , , ,C,k, , 
247,0020681,1,-3,0, , , , ,LH, , , 
248,0020681,2,0,10, , , , ,A,h, , 
249,0020681,3,10,30, , , , ,A,he, , 
250,0020681,4,30,36, , , , ,A,e, , 
251,0020681,5,36,74, , , , ,B,t,1, 
252,0020681,6,74,114, , , , ,B,t,2, 
253,0020681,7,114,157, , , , ,C,k,1, 
254,0020681,8,157,211, , , , ,C,k,2, 
255,0020687,1,0,8, , , , ,A,h, , 
256,0020687,2,8,15, , , , ,A,e, , 
257,0020687,3,15,23, , , , ,B,tnj, , 
258,0020687,4,23,38, , , , ,B,t, , 
259,0020687,5,38,66, , , , ,C,k,1, 
260,0020687,6,66, , , , , ,C,k,2, 
261,0020690,1,0,10, , , , ,A,h, , 
262,0020690,2,10,20, , , , ,AB, , , 
263,0020690,3,20,41, , , , ,B,nt, , 
264,0020690,4,41,53, , , , ,B,ntj, , 
265,0020690,5,53,71, , , , ,BC, , , 
266,0020690,6,71,102, , , , ,C,ca, , 
267,0020690,7,102,122, , , , ,C,k, , 
268,0020700,1,-5,0, , , , ,LH, , , 
269,0020700,2,0,10, , , , ,A,he, , 
270,0020700,3,10,18, , , , ,A,e, , 
271,0020700,4,18,28, , , , ,B,t,1, 
272,0020700,5,28,69, , , , ,C,k,1, 
273,0020700,6,69,120, , , , ,C,ca,2, 
274,0020700,7,120,168, , , , ,C,k,2, 
275,0020702,1,0,8, , , , ,A,h, , 
276,0020702,2,8,18, , , , ,A,e, , 
277,0020702,3,18,51, , , , ,B,t,1, 
278,0020702,4,51,102, , , , ,B,t,2, 
279,0020702,5,102,122, , , , ,C,ca, , 
280,0020702,6,122,163, , , , ,C,k, , 
281,0020703,1,0,13, , , , ,A,e,1, 
282,0020703,2,13,28, , , , ,A,e,2, 
283,0020703,3,28,48, , , , ,B,t,1, 
284,0020703,4,48,69, , , , ,B,t,2, 
285,0020703,5,69,84, , , , ,BC, , , 
286,0020703,6,84,135, , , , ,C, , , 
287,0020703,7,135, , , , , ,C,k, , 
288,0020707,1,0,25, , , , ,A,he, , 
289,0020707,2,25,33, , , , ,A,e, , 
290,0020707,3,33,51, , , , ,B,tj, , 
291,0020707,4,51,81, , , , ,C,ca, , 
292,0020707,5,81,127, , , , ,C, , , 
293,0020710,1,0,5, , , , ,A,h, , 
294,0020710,2,5,41, , , , ,A,heg, , 
295,0020710,3,41,61, , , , ,B,g, , 
296,0020710,4,61,71, , , , ,C,cag, , 
297,0020710,5,71,81, , , , ,C,kg, , 
298,0020710,6,81,122, , , , ,C,kg, ,2
299,0020711,1,0,5, , , , ,A,h, , 
300,0020711,2,5,13, , , , ,A,e, , 
301,0020711,3,13,36, , , , ,B,m,1, 
302,0020711,4,36,64, , , , ,B,m,2, 
303,0020711,5,64,147, , , , ,C, ,1, 
304,0020711,6,147,168, , , , ,C, ,2, 
305,0020713,1,0,10, , , , ,A,h, , 
306,0020713,2,10,25, , , , ,B,m,1, 
307,0020713,3,25,41, , , , ,B,m,2, 
308,0020713,4,41,51, , , , ,B,m,3, 
309,0020713,5,51,66, , , , ,B,m,4, 
310,0020713,6,66,122, , , , ,BC, , , 
311,0020713,7,122,168, , , , ,C, , , 
312,0020715,1,-20,0, , , , ,O,f, , 
313,0020715,2,0,10, , , , ,A,he, , 
314,0020715,3,10,18, , , , ,A,e, , 
315,0020715,4,18,20, , , , ,B,tg,1, 
316,0020715,5,20,51, , , , ,B,tg,2, 
317,0020715,6,51,81, , , , ,BC,g, , 
318,0020715,7,81,112, , , , ,C,g, , 
319,0020716,1,-18,0, , , , ,LH, , , 
320,0020716,2,0,18, , , , ,A,hg,1, 
321,0020716,3,18,38, , , , ,A,hg,2, 
322,0020716,4,38,64, , , , ,B,gca, , 
323,0020716,5,64,74, , , , ,C,gk, ,2
324,0020719,1,0,5, , , , ,A,h, , 
325,0020719,2,5,25, , , , ,B,m, , 
326,0020719,3,25,46, , , , ,C,ca, , 
327,0020719,4,46,91, , , , ,C,k,1, 
328,0020719,5,91,122, , , , ,C,sak, , 
329,0020719,6,122,198, , , , ,C,k,2, 
330,0020723,1,0,3, , , , ,A,h, , 
331,0020723,2,3,10, , , , ,A,he, , 
332,0020723,3,10,15, , , , ,A,e, , 
333,0020723,4,15,23, , , , ,AB, , , 
334,0020723,5,23,46, , , , ,B,tnj,1, 
335,0020723,6,46,66, , , , ,B,tnj,2, 
336,0020723,7,66,99, , , , ,B,t, , 
337,0020723,8,99,135, , , , ,C,k, , 
338,0020725,1,-10,0, , , , ,LH, , , 
339,0020725,2,0,18, , , , ,A,e, , 
340,0020725,3,18,25, , , , ,AB, , , 
341,0020725,4,25,38, , , , ,B,t,1, 
342,0020725,5,38,76, , , , ,B,t,2, 
343,0020725,6,76,91, , , , ,BC,k, , 
344,0020725,7,91,122, , , , ,C,ca, , 
345,0020726,1,-8,0, , , , ,LH, , , 
346,0020726,2,0,23, , , , ,A,e, , 
347,0020726,3,23,30, , , , ,AB, , , 
348,0020726,4,30,51, , , , ,B,t, , 
349,0020726,5,51,127, , , , ,BC, , , 
350,0020726,6,127,152, , , , ,C,k,1, 
351,0020726,7,152, , , , , ,C,k,2, 
352,0020727,1,0,4, , , , ,A,h, , 
353,0020727,2,4,20, , , , ,A,egj, , 
354,0020727,3,20,52, , , , ,AB, , , 
355,0020727,4,52,76, , , , ,B,t, , 
356,0020727,5,76,124, , , , ,C, , , 
357,0020729,1,0,8, , , , ,A,h, , 
358,0020729,2,8,36, , , , ,A,he, , 
359,0020729,3,36,48, , , , ,AB, , , 
360,0020729,4,48,69, , , , ,B,t,1, 
361,0020729,5,69,89, , , , ,B,t,2, 
362,0020729,6,89,117, , , , ,C,ca, , 
363,0020729,7,117,142, , , , ,C,k,1, 
364,0020729,8,142, , , , , ,C,k,2, 
365,0020732,1,0,23, , , , ,A,hg, , 
366,0020732,2,23,46, , , , ,AC,g,1, 
367,0020732,3,46,64, , , , ,AC,g,2, 
368,0020732,4,64,81, , , , ,C,cag,2, 
369,0020732,5,81,110, , , , ,C,kg, , 
370,0020732,6,110, , , , , ,C,kg, ,2
371,0020733,1,0,3, , , , ,A,h, , 
372,0020733,2,3,10, , , , ,A,ej, , 
373,0020733,3,10,30, , , , ,B,m, , 
374,0020733,4,30,61, , , , ,BC, , , 
375,0020733,5,61,122, , , , ,C, , , 
376,0020736,1,0,3, , , , ,A,e,1, 
377,0020736,2,3,8, , , , ,B,f, , 
378,0020736,3,8,21, , , , ,A,e,2, 
379,0020736,4,21,51, , , , ,B,t, , 
380,0020736,5,51,76, , , , ,BC, , , 
381,0020736,6,76,122, , , , ,C,k,1, 
382,0020736,7,122, , , , , ,C,k,2, 
383,0020737,1,0,15, , , , ,A,h, , 
384,0020737,2,15,38, , , , ,B,m, , 
385,0020737,3,38,64, , , , ,C,ca,1, 
386,0020737,4,64,91, , , , ,C,ca,2, 
387,0020737,5,91,122, , , , ,C,k, , 
388,0020738,1,0,6, , , , ,A,h, , 
389,0020738,2,6,25, , , , ,B,mk, , 
390,0020738,3,25,51, , , , ,C,k,1, 
391,0020738,4,51,76, , , , ,C,k,2, 
392,0020748,1,0,8, , , , ,A,h, , 
393,0020748,2,8,28, , , , ,A,he, , 
394,0020748,3,28,41, , , , ,B,t,1, 
395,0020748,4,41,66, , , , ,B,t,2, 
396,0020749,1,0,5,5, , , ,A,h, , 
397,0020749,2,5,15, , , , ,A,e, , 
398,0020749,3,15,35, , , , ,B,t, , 
399,0020749,4,35,86, , , , ,BC, , , 
400,0020750,1,0,15, , , , ,A,p, , 
401,0020750,2,15,36, , , , ,B,m,1, 
402,0020750,3,36,76, , , , ,B,m,2, 
403,0020750,4,76,91, , , , ,B,m,3, 
404,0020751,1,0,8, , , , ,A,h, , 
405,0020751,2,8,15, , , , ,A,eg, , 
406,0020751,3,15,25, , , , ,AB,g, , 
407,0020751,4,25,41, , , , ,B,tg,1, 
408,0020751,5,41, , , , , ,B,tg,2, 
409,0020752,1,0,13, , , , ,A,h, , 
410,0020752,2,13,33, , , , ,B,m, , 
411,0020752,3,33,61, , , , ,C,k,1, 
412,0020752,4,61, , , , , ,C,k,2, 
413,0020753,1,0,8, , , , ,A,h, , 
414,0020753,2,8,18, , , , ,B,m, , 
415,0020753,3,18,43, , , , ,C,k,1, 
416,0020753,4,43, , , , , ,C,k,2, 
417,0020754,1,0,10, , , , ,A,h, , 
418,0020754,2,10,25, , , , ,B,tj, , 
419,0020754,3,25,41, , , , ,B,t, , 
420,0020754,4,41,61, , , , ,C,k,1, 
421,0020755,1,0,4, , , , ,A,h, , 
422,0020755,2,4,13, , , , ,B,tj, , 
423,0020755,3,13,64, , , , ,B,t, , 
424,0020755,4,64,76, , , , ,C, ,1, 
425,0020757,1,0,10, , , , ,A,h, , 
426,0020757,2,10,25, , , , ,B,t, , 
427,0020757,3,25,41, , , , ,C,k,1, 
428,0020757,4,41,61, , , , ,C,k,2, 
429,0020758,1,0,5, , , , ,A,h,1, 
430,0020758,2,5,10, , , , ,A,h,2, 
431,0020758,3,10,30, , , , ,B,tj, , 
432,0020758,4,30,66, , , , ,C,ca, , 
433,0020758,5,66,91, , , , ,C,k,1,2
434,0020758,6,91,122, , , , ,C,k,2,2
435,0020758,7,122,147, , , , ,C,k,3,2
436,0020760,1,-5,0, , , , ,LH, , , 
437,0020760,2,0,5, , , , ,A,e,1, 
438,0020760,3,5,10, , , , ,B,f, , 
439,0020760,4,10,25, , , , ,A,e,2, 
440,0020760,5,25,46, , , , ,B,t,1, 
441,0020760,6,46, , , , , ,B,t,2, 
442,0020760,7,102, , , , , ,C, , , 
443,0020761,1,0,5, , , , ,A,hk, , 
444,0020761,2,5,20, , , , ,C,k,1, 
445,0020761,3,20,51, , , , ,C,k,2, 
446,0020761,4,51,61, , , , ,C,k,3, 
447,0020762,1,0,20, , , , ,A,h, , 
448,0020762,2,20,46, , , , ,B,tj, , 
449,0020762,3,46,76, , , , ,C,k,1, 
450,0020762,4,76, , , , , ,C,k,2, 
451,0020763,1,0,15, , , , ,A,h, , 
452,0020763,2,15,36, , , , ,B,tj,1, 
453,0020763,3,36,61, , , , ,B,tj,2, 
454,0020763,4,61, , , , , ,C,k, , 
455,0020765,1,0,13, , , , ,A,h, , 
456,0020765,2,13,28, , , , ,AB, , , 
457,0020765,3,28,51, , , , ,B,tj, , 
458,0020765,4,51,76, , , , ,C,k,1, 
459,0020765,5,76, , , , , ,C,k,2, 
460,0020766,1,0,8, , , , ,A,h, , 
461,0020766,2,8,13, , , , ,A,e, , 
462,0020766,3,13,30, , , , ,B,t, , 
463,0020766,4,30,51, , , , ,B,cksa, , 
464,0020766,5,51,91, , , , ,C,casa, , 
465,0020766,6,91, , , , , ,C,ks, ,2
466,0020767,1,0,13, , , , ,A,h, , 
467,0020767,2,13,30, , , , ,B,m, , 
468,0020767,3,30,51, , , , ,C,ca, , 
469,0020767,4,51,76, , , , ,C,k,1, 
470,0020767,5,76,107, , , , ,C,k,2, 
471,0020769,1,-5,0, , , , ,LH, , , 
472,0020769,2,0,5, , , , ,A,e, , 
473,0020769,3,5,20, , , , ,B,fj, , 
474,0020769,4,20,25, , , , ,C, , , 
475,0020771,1,-4, 0, , , , ,LH, , , 
476,0020771,2,0,5, , , , ,A,e,1, 
477,0020771,3,5,10, , , , ,B,f, , 
478,0020771,4,10,20, , , , ,A,e,2, 
479,0020771,5,20,46, , , , ,B,t, , 
480,0020771,6,46,76, , , , ,BC, , , 
481,0020771,7,76, , , , , ,C, , , 
482,0020772,1,0,15, , , , ,A,h, , 
483,0020772,2,15,30, , , , ,AB, , , 
484,0020772,3,30,51, , , , ,B,tj, , 
485,0020772,4,51,69, , , , ,B,m, , 
486,0020772,5,69,112, , , , ,C,k,1, 
487,0020772,6,112, , , , , ,C,k,2, 
488,0020773,1,0,5, , , , ,A,h, , 
489,0020773,2,5,10, , , , ,A,e, , 
490,0020773,3,10,18, , , , ,AB, , , 
491,0020773,4,18,43, , , , ,B,t, , 
492,0020773,5,43,61, , , , ,BC,k, , 
493,0020773,6,61,76, , , , ,C,k,1, 
494,0020773,7,76,91, , , , ,C,k,2, 
495,0020774,1,0,15, , , , ,A,h, , 
496,0020774,2,15,28, , , , ,B,m,1, 
497,0020774,3,28,38, , , , ,B,m,2, 
498,0020774,4,38,64, , , , ,C,ca, , 
499,0020774,5,64,91, , , , ,C,k,1, 
500,0020774,6,91,152, , , , ,C,k,2, 
501,0020775,1,0,5, , , , ,A,h, , 
502,0020775,2,5,13, , , , ,B,tj, , 
503,0020775,3,13,20, , , , ,C,k,1, 
504,0020775,4,20,46, , , , ,C,k,2, 
505,0020775,5,46,61, , , , ,C,k,3, 
506,0020776,1,0,18, , , , ,A,h, , 
507,0020776,2,18,46, , , , ,B,m, , 
508,0020776,3,46, , , , , ,C,ca, , 
509,0020777,1,0,18, , , , ,A,h, , 
510,0020777,2,18,43, , , , ,B,m, , 
511,0020777,3,43,69, , , , ,C,k,1, 
512,0020777,4,81, , , , , ,C,k,2, 
513,0020778,1,0,15, , , , ,A,h, , 
514,0020778,2,15,46, , , , ,B,m, , 
515,0020778,3,46, , , , , ,C,k, , 
516,0020779,1,0,15, , , , ,A,h, , 
517,0020779,2,15,41, , , , ,B,m, , 
518,0020779,3,41,66, , , , ,C,k, , 
519,0020779,4,66, , , , , ,C,k, ,2
520,0020781,1,-5,0, , , , ,LH, , , 
521,0020781,2,0,20, , , , ,A,e,1, 
522,0020781,3,20,30, , , , ,A,e,2, 
523,0020781,4,30,66, , , , ,B,t, , 
524,0020781,5,66,152, , , , ,C, ,1, 
525,0020781,6,152, , , , , ,C, ,2, 
526,0020785,1,0,4, , , , ,A,hk, , 
527,0020785,2,4,18, , , , ,BC,k, , 
528,0020785,3,18,30, , , , ,C,k,1, 
529,0020785,4,30,51, , , , ,C,k,2, 
530,0020788,1,0,8, , , , ,A,h,1, 
531,0020788,2,8,25, , , , ,A,h,2, 
532,0020788,3,25,33, , , , ,B,mk, , 
533,0020788,4,33,58, , , , ,C,ca,1, 
534,0020788,5,58,81, , , , ,C,ca,2, 
535,0020788,6,81,102, , , , ,C,k, , 
536,0020790,1,0,5, , , , ,A,h, , 
537,0020790,2,5,10, , , , ,B,m, , 
538,0020790,3,10,20, , , , ,C,cas, , 
539,0020790,4,20,38, , , , ,C,casa, , 
540,0020790,5,38,70, , , , ,C,k,1, 
541,0020790,6,70, , , , , ,C,k,2, 
542,0020791,1,0,5, , , , ,A,h, , 
543,0020791,2,5,15, , , , ,B,m, , 
544,0020791,3,15,66, , , , ,C,k,1, 
545,0020791,4,66,86, , , , ,C,k,2, 
546,0020791,5,86,102, , , , ,C,k,3, 
547,0020795,1,0,10, , , , ,A,h, , 
548,0020795,2,10,30, , , , ,B,m, , 
549,0020795,3,30,61, , , , ,C,ca, , 
550,0020795,4,61, , , , , ,C,k, , 
551,0020798,1,0,15, , , , ,A,h, , 
552,0020798,2,15,46, , , , ,B,m, , 
553,0020798,3,46,91, , , , ,C,k,1, 
554,0020798,4,91,122, , , , ,C,k,2, 
555,0020798,5,122,152, , , , ,C,k, ,2
556,0020801,1,0,10, , , , ,A,h, , 
557,0020801,2,10,30, , , , ,B,m, , 
558,0020801,3,30,71, , , , ,C,ca, , 
559,0020801,4,71,91, , , , ,C,k, , 
560,0020803,1,0,30, , , , ,A,h, , 
