OID_,PEDON_ID,LAYER_ID,U_DEPTH,L_DEPTH,CARB_ORG,CACO3_EQ,PH_H2O,PH_CACL2,EXCH_AL,EXCH_CA,EXCH_H,EXCH_K,EXCH_MG,EXCH_NA,EXCH_PCHRG,CEC,BASE_SATN,X_ACIDITY,NO3,P_INORG,P_ORG,N_TOTAL,AVAIL_K,CALCITE,DOLOMITE
61,0044206,2,10,32,3.42, , ,8.4, ,8.9, , ,17.7,1.9, ,22.2,55, , , , ,0.32, ,5.4,27.6
62,0044206,8,150,210, , , ,8.4, ,2.4, , ,2.5,0.4, ,2.7,34, , , , ,9, , ,45.7
63,0140228,5,67,88, ,44.7, ,8.4, , , , , , , , , , , , , , , , , 
64,0140228,6,88,100, ,46, ,8.4, , , , , , , , , , , , , , , , , 
65,0150170,4,18,35,2.15, ,7.87,8.4, , , , , , , , , , , , , ,1.03, , , 
66,0280943,5,23,100, , , ,8.4, , , , , , , , , , , , , ,1.53, , , 
67,0281049,6,53.5,68.5,0.52, , ,8.4, , , , , , , , , , , , , ,1.01, , , 
68,0281075,2,12.5,28,0.61, , ,8.4, , , , , , , , , , , , , ,0.04, , , 
69,0281089,6,76,100,0.2, , ,8.4, , , , , , , , , , , , , ,0.73, , , 
70,0281094,4,53.5,76,0.18, , ,8.4, , , , , , , , , , , , , ,0.85, , , 
71,0281097,5,63.5,100,0.04, , ,8.4, , , , , , , , , , , , , ,1.58, , , 
72,0281114,5,61,100,0.01, , ,8.4, , , , , , , , , , , , , ,0.17, , , 
73,0281115,5,30.5,100,0.5, , ,8.4, , , , , , , , , , , , , ,0.66, , , 
74,0281129,2,35.5,66,0.45, , ,8.4, , , , , , , , , , , , , ,0.31, , , 
75,0281267,5,23,100, , , ,8.4, , , , , , , , , , , , , ,1.53, , , 
76,0281409,6,49,100, , , ,8.4, , , , , , , , , , , , , ,1.4, , , 
77,0281850,5,25.5,100,0.35, , ,8.4, , , , , , , , , , , , , ,1.2, , , 
78,0150109,5,44,45,0.84,8.16,8.13,8.32,0.12,6.43, ,0.155,8.21, , , , , , , , ,1.24, , , 
79,0150108,5,92,100,0.14, ,7.32,8.31,0.07,2.77, ,0.08,0.253, , , , , , , , ,0.26, , , 
80,0042708,3,24, ,0.14, , ,8.3, , , , , , , , , , , , , ,9, ,5.7,2
81,0042712,1,0,17,3.87, , ,8.3, , , , , , , , , , , , , ,0.39, , , 
82,0042748,4,31, ,0.12, , ,8.3, , , , , , , ,0.9, , , , , ,9, ,14.3,11.9
83,0042940,5,66, , , , ,8.3, , , , , , , , , , , , , ,9, , , 
84,0042945,8,61, , , , ,8.3, , , , , , , , , , , , , ,9, , , 
85,0043595,3,80,100, , , ,8.3, , , , , , , ,21.9,50, , , , ,9, ,16.5,9.7
86,0043598,3,31,90, , , ,8.3, , , , , , , ,5,21, , , , ,9, ,18,24.3
87,0043601,2,15,28,1.6, , ,8.3, , , , , , , ,20.5,46, , , , ,0.2, ,10.5,3.5
88,0043602,3,30,45,1, , ,8.3, , , , , , , ,13.6, , , , , ,0.1, ,30.4,21.4
89,0043602,4,45,80, , , ,8.3, , , , , , , ,11.6,40, , , , ,0.47, ,18.6,26.2
90,0043603,4,65,0, , , ,8.3, , , , , , , ,6.7, , , , , ,9, ,6.6,6.7
91,0043609,5,40,75, , , ,8.3, , , , , , , ,19.7,52, , , , ,9, ,20.4,8.4
92,0043609,6,75,100, , , ,8.3, , , , , , , ,17.6,44, , , , ,9, ,10.6,12.1
93,0043618,6,68,100, , , ,8.3, , , , , , , ,19.9, , , , , ,0.25, ,14.9,10
94,0043840,4,28,60, , , ,8.3, , , , , , , ,15.1,48, , , , ,9, ,19.4,14.1
95,0043844,3,30,38,0.7, , ,8.3, , , , , , , ,25.2,55, , , , ,9, ,4.3,5.9
96,0043844,6,100,120, , , ,8.3, , , , , , , ,17.1,50, , , , ,9, ,8.7,12.3
97,0043848,3,25,32,1, , ,8.3, , , , , , , ,26.1,44, , , , ,9, ,1.6,2.1
98,0043851,4,38,52, , , ,8.3, , , , , , , ,10.1,33, , , , ,9, ,19.3,12.6
99,0043886,5,55,75,0.7, , ,8.3, , , , , , , ,32.4, , , , , ,0.1, ,5.8,3.2
100,0043968,2,4,22,0.21, , ,8.3, , , , , , , , , , , , , ,0.06, ,14.3,2.2
101,0044067,5,40,60, , , ,8.3, ,18.1, ,0.6,22.1,1, ,26.9,53, , , , ,9, ,14.5,10.6
102,0044067,7,90,110, , , ,8.3, ,16.1, ,0.6,26.8,2.2, ,25.8,59, , , , ,9, ,8.4,13.3
103,0044157,3,45,55,0.57, , ,8.3, ,13.8, ,0.5,12.8,2.6, ,6.6,29.9, , , , ,0.06, ,10.6,1.6
104,0044284,4,60,100,0.37, , ,8.3, ,20.7, ,0.7,19.4,8.5, ,30.2,66, , , , ,9, ,11.4,10.4
