OID_,PEDON_ID,LAYER_ID,U_DEPTH,L_DEPTH,CARB_ORG,CACO3_EQ,PH_H2O,PH_CACL2,EXCH_AL,EXCH_CA,EXCH_H,EXCH_K,EXCH_MG,EXCH_NA,EXCH_PCHRG,CEC,BASE_SATN,X_ACIDITY,NO3,P_INORG,P_ORG,N_TOTAL,AVAIL_K,CALCITE,DOLOMITE
4314,0281540,6,52,100, , , ,7.5, , , , , , , , , , , , , ,0.99, , , 
4315,0281591,5,95,100, , , ,7.5, , , , , , , , , , , , , , , , , 
4316,0281594,4,40,100, , , ,7.5, , , , , , , , , , , , , , , , , 
4317,0281675,6,65,100, , , ,7.5, , , , , , , , , , , , , , , , , 
4318,0281679,6,55,100, , , ,7.5, , , , , , , , , , , , , , , , , 
4319,0281686,6,67,100, , , ,7.5, , , , , , , , , , , , , , , , , 
4320,0281705,11,88,100,2.1, , ,7.5, , , , , , , , , , , , , , , , , 
4321,0281705,7,54,68,1.6, , ,7.5, , , , , , , , , , , , , , , , , 
4322,0281705,8,68,78,0, , ,7.5, , , , , , , , , , , , , , , , , 
4323,0281720,7,38,100, , , ,7.5, , , , , , , , , , , , , , , , , 
4324,0281730,2,10,42, , , ,7.5, , , , , , , , , , , , , , , , , 
4325,0281733,5,23,48, , , ,7.5, , , , , , , , , , , , , , , , , 
4326,0281735,6,52,75, , , ,7.5, , , , , , , , , , , , , , , , , 
4327,0281735,7,75,100, , , ,7.5, , , , , , , , , , , , , , , , , 
4328,0281738,7,60,100,2, , ,7.5, , , , , , , , , , , , , , , , , 
4329,0281760,4,10,17,5.1, , ,7.5, , , , , , , , , , , , , , , , , 
4330,0281760,7,35,85, , , ,7.5, , , , , , , , , , , , , , , , , 
4331,0281855,6,30.5,51,0.32, , ,7.5, ,21.2, ,0.7,6.6,0.2, , , , , , , ,0.14, , , 
4332,0281855,7,51,68.5,0.25, , ,7.5, , , , , , , , , , , , , ,0.14, , , 
4333,0281916,6,24,100,0, , ,7.5, , , , , , , , , , , , , , , , , 
4334,0281919,3,10,24,0.7, , ,7.5, , , , , , , , , , , , , , , , , 
4335,0281919,4,24,55,0.4, , ,7.5, , , , , , , , , , , , , , , , , 
4336,0281919,5,55,100,0.82, , ,7.5, , , , , , , , , , , , , , , , , 
4337,0281944,4,51,63.5,0.54, , ,7.5, , , , , , , , , , , , , ,0.72, , , 
4338,0281977,8,85,100, , , ,7.5, , , , , , , , , , , , , , , , , 
4339,0281985,3,6,23,2.4, , ,7.5, , , , , , , , , , , , , , , , , 
4340,0281985,7,52,100, , , ,7.5, , , , , , , , , , , , , , , , , 
4341,0282007,10,78,95, , , ,7.5, ,4.59, ,0.06,1.1,0.08, , , , , , , , , , , 
4342,0282089,7,58.5,100,0.23, , ,7.5, , , , , , , , , , , , , ,1.4, , , 
4343,0282369,4,12,47,1.3, , ,7.5, ,11.13, ,0.07,9.33,0.03, , , , , , , ,1.1, , , 
4344,0282530,7,46,100,0.5, , ,7.5, ,13.26, ,0.07,1.11,0.03, , , , , , , ,0.86, , , 
4345,0282538,4,22,100,2.6, , ,7.5, ,17.5, ,0.27,1.12,0.02, , , , , , , ,0.92, , , 
4346,0282544,2,0,45,2.1, , ,7.5, ,21.5, ,0.8,0.9,0.05, , , , , , , ,1.45, , , 
4347,0282547,6,40,100,1.3, , ,7.5, ,18.15, ,0.2,2.46,0.04, , , , , , , ,2.06, , , 
4348,0282572,3,3,18,1.1, , ,7.5, ,11.44, ,0.06,1.56,0.02, , , , , , , ,0.59, , , 
4349,0282595,5,48,100,1.19, , ,7.5, ,13.5, ,0.1,1.6,0.2, , , , , , , ,0.25, , , 
4350,0282599,4,38,63,0.69, , ,7.5, ,10.6, ,0.1,6.4,0.5, , , , , , , ,0.04, , , 
4351,0282616,4,41,100,0.49, , ,7.5, ,4.8, ,0.1,1.2,0.1, , , , , , , ,0.14, , , 
4352,0282629,5,39,100,0.55, , ,7.5, ,14.2, ,0.1,2.5,0.3, , , , , , , ,0.04, , , 
4353,0282630,5,27,67,0.58, , ,7.5, ,7.1, ,0.3,6.9,1.7, , , , , , , ,0.12, , , 
4354,0282648,5,46,81,0.78, , ,7.5, ,11.8, ,0.1,2.2,0.1, , , , , , , ,0.07, , , 
4355,0282690,4,55,100,0.44, , ,7.5, ,24.3, ,0.5,5.6,0.2, , , , , , , ,1.5, , , 
4356,0282729,3,30,70,1.7, , ,7.5, ,21.46, ,0.04,6.02,0.01, , , , , , , ,0.23, , , 
4357,0282729,4,70,100,0.7, , ,7.5, ,17.59, ,0.1,3.95,0.01, , , , , , , ,0.23, , , 
4358,0282789,3,0,100,0.2, , ,7.5, ,12, ,0.4,4.2,0.1, , , , , , , ,0.86, , , 
4359,0282800,3,15,68,0.4, , ,7.5, ,22.3, ,0.6,6.5,0.1, , , , , , , ,0.8, , , 
4360,0282845,5,35,100,0.32, , ,7.5, ,21.9, ,0.7,7.9,0.2, , , , , , , ,0.67, , , 
4361,0282867,4,17,100,0.51, , ,7.5, ,20.4, ,0.5,4,0.1, , , , , , , ,0.94, , , 
4362,0282967,4,65,100,0.45, , ,7.5, ,18.8, ,0.5,4.5,0.1, , , , , , , ,0.95, , , 
4363,0490002,4,23,70,2.4,65.9, ,7.5, , , , , , , , , , , , , ,0.4, , , 
4364,0490003,1,0,10,0.1,56.5, ,7.5, , , , , , , , , , , , , ,0.1, , , 
4365,0490004,1,0,12,2.9,9, ,7.5, , , , , , , , , , , , , , , , , 
4366,0490008,4,21,44,0.7,60.8, ,7.5, , , , , , , , , , , , , , , , , 
4367,0490008,6,54,74,0.9,59.9, ,7.5, , , , , , , , , , , , , , , , , 
4368,0490014,4,40,59,1.8,68.2, ,7.5, , , , , , , , , , , , , , , , , 
4369,0490019,2,14,25,3.2,51.3, ,7.5, , , , , , , , , , , , , , , , , 
4370,0490024,2,10,42, ,47.1, ,7.5, , , , , , , , , , , , , , , , , 
4371,0490026,8,67,80, ,29.7, ,7.5, , , , , , , , , , , , , , , , , 
4372,0500408,4,12,47,1.3, , ,7.5, , , , , , , , , , , , , , , , , 
4373,0500433,7,46,100,0.5, , ,7.5, , , , , , , , , , , , , , , , , 
4374,0500440,4,22,100,2.6, , ,7.5, , , , , , , , , , , , , , , , , 
4375,0500446,2,0,45,2.1, , ,7.5, , , , , , , , , , , , , , , , , 
4376,0500448,6,40,100,1.3, , ,7.5, , , , , , , , , , , , , , , , , 
4377,0500471,3,3,18,1.1, , ,7.5, , , , , , , , , , , , , , , , , 
4378,0500597,5,48,100,1.19, , ,7.5, , , , , , , , , , , , , , , , , 
4379,0500601,4,38,63,0.69, , ,7.5, , , , , , , , , , , , , , , , , 
4380,0500616,4,41,100,0.49, , ,7.5, , , , , , , , , , , , , , , , , 
4381,0500628,5,39,100,0.55, , ,7.5, , , , , , , , , , , , , , , , , 
4382,0500629,5,27,67,0.58, , ,7.5, , , , , , , , , , , , , , , , , 
4383,0570006,3,9,22,0.8,0.6, ,7.5, ,12.3, , ,2.1,0.7, ,10.7, , , , , , , , , 
4384,0590019,5,60,120, ,3.4, ,7.5, , , , , , , , , , , , , ,0.22, , , 
4385,0630001,7,165,200,0.53,1.59, ,7.5, ,80.92, ,0.80,14.27,1.54, ,30.9, , , , , ,0.30,231, , 
4386,0630002,7,120,170,1.19,0.76, ,7.5, ,55.97, ,0.90,15.75,1.89, ,37.2, , , , , ,0.37,282, , 
4387,0720001,1,0,20,5.40,5.5, ,7.5, , , , , , , , , , , , , , , , , 
4388,0720001,4,90,120, ,19.8, ,7.5, , , , , , , , , , , , , , , , , 
4389,0720002,3,28,110, ,27.0, ,7.5, , , , , , , , , , , , , , , , , 
4390,0720005,2,16,30,1.80,5.2, ,7.5, , , , , , , , , , , , , , , , , 
4391,0720007,3,48,120, ,22.3, ,7.5, , , , , , , , , , , , , , , , , 
4392,0720012,5,26,64, ,10.4, ,7.5, , , , , , , , , , , , , ,1.87, , , 
4393,0750007,1,0,3,1.74, , ,7.5, , , , , , , ,33.1, , , , , ,0.15, , , 
4394,0780001,6,101, , ,3.46, ,7.5, ,25.24, ,0.18,8.97,0.1, ,18.4, , , , , ,0.02, , , 
4395,0780011,5,95,100, ,3.9, ,7.5, , , , , , , , , , , , , , , , , 
4396,0780016,4,43,73, , , ,7.5, , , , , , , ,17.4, , , , , , , , , 
4397,0830018,3,40,100, ,13.3, ,7.5, , , , , , , , , , , , , , , , , 
4398,0870011,7,51,100,0.86, , ,7.5, , , , , , , , , , , , , , , , , 
4399,0870012,7,58,100,0.67, , ,7.5, , , , , , , , , , , , , , , , , 
4400,0870023,7,40,80,4.93, , ,7.5, , , , , , , , , , , , , , , , , 
4401,0870045,6,51,58,1.27, , ,7.5, , , , , , , , , , , , , , , , , 
4402,0870045,7,58,59,1.27, , ,7.5, , , , , , , , , , , , , , , , , 
4403,0870129,6,70,100,0.95, , ,7.5, , , , , , , , , , , , , , , , , 
4404,0140038,3,50,70,0.058,30.5, ,7.47, , , , , , , , , , , , , , , , , 
4405,0140490,1,0,26, ,0.7, ,7.47, , , , , , , , , , , , , , , , , 
4406,0140060,4,58,79, , , ,7.45, , , , , , , , , , , , , , , , , 
4407,0140498,4,0,24,0.058,16.8, ,7.45, , , , , , , , , , , , , , , , , 
4408,0530008,4,44,80, , , ,7.45, , , , , , , , , , , , , ,0.89, , , 
4409,0140022,4,80,110,0.058,7.5, ,7.44, , , , , , , , , , , , , , , , , 
4410,0140062,4,36,50, , , ,7.4275, , , , , , , , , , , , , , , , , 
4411,0140489,1,0,18, ,0.9, ,7.41, , , , , , , , , , , , , , , , , 
4412,0020301,1,0,11,1.47, , ,7.4, , , , , , , , , , , , , ,0.18, , , 
4413,0020301,2,11,22,0.98, , ,7.4, , , , , , , , , , , , , ,0.13, , , 
4414,0020302,2,14,24,1.07, , ,7.4, , , , , , , , , , , , , ,0.14, , , 
4415,0020303,3,28,62, , , ,7.4, , , , , , , , , , , , , ,9, , , 
4416,0020305,4,30,70, , , ,7.4, , , , , , , , , , , , , ,9, , , 
4417,0020306,6,63,74, ,4.6, ,7.4, , , , , , , , , , , , , ,9, , , 
4418,0020306,8,100,107, ,3.4, ,7.4, , , , , , , , , , , , , ,9, , , 
4419,0020307,3,40,50, , , ,7.4, , , , , , , , , , , , , ,9, , , 
4420,0020308,2,22,42,1.84, , ,7.4, ,16.8, ,1,4.1,0.1, ,21.2, , , , , ,0.15, , , 
4421,0021090,4,48,64, , , ,7.4, ,25.9, ,0.4,11.5,0.5, ,21, , , , , ,9, , , 
4422,0021396,6,49,67, , , ,7.4, , , , , , , , , , , , , ,9, , , 
4423,0021407,1,0,15,3.1, , ,7.4, , , , , , , , , , , , , ,0.3, , , 
4424,0021408,2,10,20,1.2, , ,7.4, , , , , , , , , , , , , ,0.2, , , 
4425,0042718,2,0,15,0.22, , ,7.4, ,1.8, ,0.1,0.4,0.1, ,1.9, , , , , ,9, , , 
4426,0042719,3,5,18,1.34, , ,7.4, ,12.4, ,0.2,6,0.2, ,16.8, , , , , ,9, ,0.6,12.5
4427,0042720,2,0,10,0.41, , ,7.4, ,2.4, ,0.1,0.7,0.1, ,2.9, , , , , ,9, , , 
4428,0042722,3,13,33,0.19, , ,7.4, ,1, ,0.1,0.8,0.2, ,1.5, , , , , ,9, , , 
4429,0042722,4,33,48,0.17, , ,7.4, , , , , , , , , , , , , ,9, , , 
4430,0042728,3,20,71,1.22, , ,7.4, , , , , , , , , , , , , ,9, ,7.3,21.4
4431,0042737,1,0,15,2.19, , ,7.4, ,27.5, ,1.4,22.2,0.5, ,51.4, ,1.1, , , ,0.4, , , 
4432,0042737,3,20,41,2.54, , ,7.4, ,22.9, ,1,22.8,1.4, ,48.2, ,1.1, , , ,0.11, , , 
4433,0042738,4,18,41,1.72, , ,7.4, ,15.5, ,0.7,16.2,5.3, ,38.3, , , , , ,9, , , 
4434,0042747,3,3,5,2, , ,7.4, ,8.8, ,0.3,3.5,0.1, ,12.1, , , , , ,9, ,0.1,0.4
4435,0042747,4,5,13,1.92, , ,7.4, ,17.3, ,0.6,9.9,0.1, ,27.8, , , , , ,9, ,0.3,4.2
4436,0042751,1,-5,0,24.28, , ,7.4, ,83, ,1.9,10.8,0.2, ,100.9, , , , , ,1.36, , , 
4437,0042751,2,0,8,3.94, , ,7.4, ,37.6, ,0.9,7.6,0.2, ,41.5, , , , , ,0.36, ,1.1, 
4438,0042828,5,70,72,0.3, , ,7.4, , , , , , , , , , , , , ,9, , , 
4439,0042828,6,72,82, , , ,7.4, , , , , , , , , , , , , ,9, ,16.4,3.7
4440,0042834,5,15,31,0.68, , ,7.4, ,12.5, ,1.1,40.6,3.6, ,43.6, , , , , ,9, , , 
4441,0042834,6,31,46,0.9, , ,7.4, ,11.1, ,0.8,34.4,2.8, ,37.9, ,0.3, , , ,9, ,0.2, 
4442,0042834,7,46, ,0.25, , ,7.4, ,16.3, ,0.7,23.6,2.2, ,27.1, ,0.3, , , ,9, ,0.3, 
4443,0042837,3,13, ,1.97, , ,7.4, , , , , , , , , ,1, , , ,0.1, ,13.2,46.7
4444,0042839,6,66, , , , ,7.4, , , , , , , , , , , , , ,9, ,2,1.3
4445,0042841,4,10,56,0.41, , ,7.4, , , , , , , , , , , , , ,9, ,3.4,0.2
4446,0042843,5,15,25, , , ,7.4, , , , , , , , , , , , , ,9, ,16.1,45.5
4447,0042850,1,-3,0,7.51, , ,7.4, , , , , , , , , , , , , ,0.71, , , 
4448,0042857,1,-5,0,30.43, , ,7.4, , , , , , , , , , , , , ,1.41, , , 
4449,0042857,4,13,20,0.4, , ,7.4, , , , , , , , , , , , , ,9, , ,44.1
4450,0042861,6,137,157,2.71, , ,7.4, , , , , , , , , , , , , ,9, , ,27.8
4451,0042864,6,46, , , , ,7.4, , , , , , , , , , , , , ,9, ,3.8,14
4452,0042877,3,10,20,1.98, , ,7.4, , , , , , , ,27, , , , , ,0.35, , , 
4453,0042884,5,46,56,0.96, , ,7.4, , , , , , , , , , , , , ,9, ,3.1,4.1
4454,0042887,5,61, , , , ,7.4, , , , , , , , , , , , , ,9, , , 
4455,0042892,1,-5,0,47.98, , ,7.4, , , , , , , , , , , , , ,2.82, , , 
4456,0042893,3,8,13,2.36, , ,7.4, , , , , , , ,22.2, , , , , ,0.29, ,7.9,29
4457,0042914,1,-2,0,14.9, , ,7.4, , , , , , , , , , , , , ,9, , , 
4458,0042914,2,0,5,6.82, , ,7.4, ,24.8, ,0.7,15.3,0.1, ,36.5, , , , , ,9, , , 
4459,0042915,4,10,20,0.76, , ,7.4, , , , , , , ,11.4, , , , , ,0.07, , ,40
4460,0042916,4,10,13,1.44, , ,7.4, , , , , , , , , , , , , ,9, , , 
4461,0042916,5,13,20,1.1, , ,7.4, , , , , , , , , , , , , ,9, , , 
4462,0042922,4,13,23, , , ,7.4, , , , , , , , , , , , , ,9, , , 
4463,0042938,1,0,13,2, , ,7.4, , , , , , , , , , , , , ,9, , , 
4464,0042938,2,13,33,2, , ,7.4, , , , , , , , , , , , , ,9, , , 
4465,0042949,3,31,41,0.88, , ,7.4, , , , , , , , , , , , , ,9, , , 
4466,0042951,3,51, , , , ,7.4, ,24.3, ,1,19.4,1.6, , , , , , , ,9, , , 
4467,0042952,1,0,13,2.9, , ,7.4, ,25.4, ,0.4,11.4,0.1, , , , , , , ,0.27, , , 
4468,0042952,4,38,61,0.9, , ,7.4, ,28.6, ,0.1,5.9,0.1, , , , , , , ,0.07, , , 
4469,0042975,1,0,10,8.41, , ,7.4, , , , , , , , , , , , , ,0.54, ,51.6,25.1
4470,0042987,5,15,30,0.88, , ,7.4, , , , , , , ,11.4, , , , , ,0.06, ,9,33.2
4471,0042988,5,33,46,0.84, , ,7.4, , , , , , , ,23.4, , , , , ,9, ,3.3,11.3
4472,0042991,4,23,46,0.64, , ,7.4, , , , , , , , , , , , , ,9, ,3.7,64.4
4473,0042991,5,46, ,0.14, , ,7.4, , , , , , , , , , , , , ,9, ,1.8,64.1
4474,0043000,7,107,137, , , ,7.4, , , , , , , ,27.9, , , , , ,9, ,0.5,0.5
4475,0043009,1,0,46,42.3, , ,7.4, ,62.5, ,1.3,39.7,0.8, ,114.3, ,4.9, , , ,1.03, , , 
4476,0043014,5,109, ,1.3, , ,7.4, ,69.9, ,1.2,13.9,0.5, ,32.8, ,0.1, , , ,0.1, , , 
4477,0043015,6,56, ,1.82, , ,7.4, , , , , , , , , , , , , ,0.23, ,10,6
4478,0043018,2,0,20,1.93, , ,7.4, , , , , , , , , , , , , ,0.2, ,9,16.5
4479,0043018,4,23,33,1, , ,7.4, , , , , , , , , , , , , ,0.11, ,6.3,14.5
4480,0043019,2,20,76,2.6, , ,7.4, , , , , , , , , , , , , ,0.22, ,5.5,17.1
4481,0043019,3,76, ,0.31, , ,7.4, , , , , , , , , , , , , ,0.08, ,7.6,11.7
4482,0043020,4,20,30,0.63, , ,7.4, , , , , , , , , , , , , ,0.12, ,0.3,12.1
4483,0043040,1,0,18,2.33, , ,7.4, ,19.5, ,0.3,4.3,0.5, ,21.4, , , , , ,0.22, ,0.1,0.7
4484,0043040,4,41,61, , , ,7.4, , , , , , , ,8.3, , , , , ,9, ,12.8,1.2
4485,0043040,5,61,91, , , ,7.4, , , , , , , ,30.6, , , , , ,9, ,4, 
4486,0043055,7,64,91, , , ,7.4, , , , , , , ,14.6, , , , , ,9, ,4,6.7
4487,0043056,4,5,23,2.08, , ,7.4, , , , , , , ,18.1, , , , , ,0.13, ,8.7,10.2
4488,0043062,5,46,56, , , ,7.4, , , , , , , ,16.7, , , , , ,9, ,1.4,2.3
4489,0043070,7,56,91, , , ,7.4, , , , , , , ,13.2, , , , , ,9, ,4.4,24.3
4490,0043070,8,91,121, , , ,7.4, , , , , , , ,11.5, , , , , ,9, ,3.1,20.3
4491,0043071,4,15,28,0.72, , ,7.4, , , , , , , ,13.1, , , , , ,0.13, ,6.9,21.1
4492,0043072,9,183,203, , , ,7.4, ,0.2, ,0.1,0.4,0.1, ,0.6, , , , , ,9, , , 
4493,0043106,5,46,71,0.72, , ,7.4, , , , , , , ,24.8, , , , , ,0.06, ,2.4,8.3
4494,0043152,1,0,8,1.61, , ,7.4, , , , , , , ,14.9, , , , , ,0.13, , , 
4495,0043161,4,71,91,1.36, , ,7.4, ,19.7, ,0.4,6.2,0.5, ,24.4, , , , , ,9, , , 
4496,0043197,5,43,76, , , ,7.4, , , , , , , ,30.3, , , , , ,9, ,0.1,0.7
4497,0043200,4,13,18,1.73, , ,7.4, , , , , , , ,17.4, , , , , ,0.15, ,1.4,20.3
4498,0043245,4,10,91, , , ,7.4, , , , , , , ,14.8, , , , , ,9, ,0.6,11
4499,0043263,6,235,250,0.93,14.1, ,7.4, , , , , , , ,23.3, , , , , ,9, ,6,7.5
4500,0043285,3,3,8,3.59, , ,7.4, , , , , , , ,29, , , , , ,0.15, ,27.5, 
4501,0043287,7,51,61,0.28, , ,7.4, , , , , , , ,30.5, , , , , ,0.05, , , 
4502,0043288,6,10,20,0.32, , ,7.4, , , , , , , ,24.9, , , , , ,0.04, ,1.5, 
4503,0043302,4,23,33,0.83, , ,7.4, , , , , , , ,29.7, , , , , ,0.08, ,3.7, 
4504,0043306,5,23,31,0.84, , ,7.4, , , , , , , ,26.4, , , , , ,0.06, , , 
4505,0043308,7,61,64,0.23, , ,7.4, , , , , , , ,7.5, , , , , ,0.02, ,4.2, 
4506,0043336,4,23,38,0.77, , ,7.4, , , , , , , ,15, , , , , ,0.06, ,3.8, 
4507,0043344,4,5,36, , , ,7.4, , , , , , , ,22.6, , , , , ,9, ,11.5, 
4508,0043344,5,36,76, , , ,7.4, , , , , , , ,23.9, , , , , ,9, ,13.2, 
4509,0043347,5,61,69,17.11, , ,7.4, , , , , , , , , , , , , ,0.37, , ,4.8
4510,0043400,2,20,30,1.1, , ,7.4, , , , , , , ,27.8,54, , , , ,0.1, ,8.7,2.2
4511,0043406,3,36,40,0.3, , ,7.4, , , , , , , ,8.2, , , , , ,9, ,1.7,11
4512,0043410,7,78,85, , , ,7.4, ,1.9, ,0.1,1.3, , ,1.4, , , , , ,9, , , 
4513,0043411,2,20,30,0.5, , ,7.4, , , , , , , ,35.2, , , , , ,0.1, ,0.3,1.6
4514,0043412,5,14,28, , , ,7.4, , , , , , , ,7.4, , , , , ,9, ,21.7,28.9
4515,0043412,6,28,44, , , ,7.4, , , , , , , ,6, , , , , ,9, ,19.8,23.7
4516,0043412,7,44,100, , , ,7.4, , , , , , , ,1.4, , , , , ,9, ,11.4,19.7
4517,0043425,6,165,190,2.9, , ,7.4, , , , , , , ,8.1, , , , , ,9, , , 
4518,0043427,6,90,120, , , ,7.4, , , , , , , ,0.7, , , , , ,9, , , 
4519,0043445,5,160,180, , , ,7.4, , , , , , , , , , , , , ,9, , , 
4520,0043446,7,70,240,3.4, , ,7.4, , , , , , , ,8.9, , , , , ,9, ,14.6,13.9
4521,0043462,5,35,55, , , ,7.4, , , , , , , ,1.2, , , , , ,9, ,14.2,7.4
4522,0043462,6,55, , , , ,7.4, , , , , , , ,0.6, , , , , ,9, ,18,7.3
4523,0043484,7,85,100, , , ,7.4, , , , , , , ,0.9, , , , , ,9, ,18.2,14.5
4524,0043491,6,40,75, , , ,7.4, , , , , , , ,16.2, , , , , ,9, ,16.8, 
4525,0043504,4,10,18,1.3, , ,7.4, , , , , , , ,7.2, , , , , ,0.1, ,9.6,15
4526,0043505,5,25,60, , , ,7.4, , , , , , , ,11.5, , , , , ,9, ,14.3,7.1
4527,0043509,4,22,55, , , ,7.4, , , , , , , ,8.1, , , , , ,9, ,13.3,12.1
4528,0043510,6,85,115,1.5, , ,7.4, , , , , , , ,20.9, , , , , ,9, ,6,6.7
4529,0043511,6,205, ,1.2, , ,7.4, , , , , , , ,11.5, , , , , ,9, ,11.2,4.4
4530,0043513,5,20,28,0.8, , ,7.4, , , , , , , ,7.1, , , , , ,0.1, ,6.7,14.1
4531,0043523,6,42,55,0.6, , ,7.4, , , , , , , ,11, , , , , ,0.1, ,12.6,12.9
4532,0043525,5,25,33,0.9, , ,7.4, , , , , , , ,10.2, , , , , ,0.1, ,11.5,6.8
4533,0043525,6,33,50, , , ,7.4, , , , , , , ,6.6, , , , , ,9, ,12.8,16.2
4534,0043526,5,37,65, , , ,7.4, , , , , , , ,7.1, , , , , ,9, ,17.6,15
4535,0043527,6,45,75, , , ,7.4, , , , , , , , , , , , , ,9, ,12.8,16.2
4536,0043527,7,275, , , , ,7.4, , , , , , , , , , , , , ,9, ,14.4, 
4537,0043528,1,-2,0,41.6, , ,7.4, ,117.7, ,0.8,18.7,0.3, ,136.5, , , , , ,1.3, ,0.9,1.8
4538,0043530,7,70,80, , , ,7.4, , , , , , , ,2.9, , , , , ,9, ,17.8,14.3
4539,0043530,8,80,90, , , ,7.4, , , , , , , ,1, , , , , ,9, ,9.2,12.5
4540,0043536,7,37,50, , , ,7.4, , , , , , , ,2.3, , , , , ,9, ,10,16.2
4541,0043536,9,68,75, , , ,7.4, , , , , , , ,2.4, , , , , ,9, ,15.1,18.5
4542,0043543,4,30,60, , , ,7.4, , , , , , , ,2, , , , , ,9, ,11.8,27.1
4543,0043549,2,0,16,0.1, , ,7.4, ,3.8, ,0.1,1.8, , ,4, , , , , ,9, , , 
4544,0043567,1,0,18,3, , ,7.4, , , , , , , ,15.7, , , , , ,0.2, , , 
4545,0043569,1,0,18,4.3, , ,7.4, , , , , , , ,25.1,62.8, , , , ,0.3, , , 
4546,0043570,1,0,12,2.8, , ,7.4, , , , , , , ,21.2, , , , , ,0.2, , , 
4547,0043570,3,18,30,1.4, , ,7.4, , , , , , , ,22.1, , , , , ,0.1, , , 
4548,0043573,3,22,30,0.2, , ,7.4, , , , , , , ,6.9, , , , , ,9, , , 
4549,0043574,1,-2,0,9.9, , ,7.4, , , , , , , ,43.5, , , , , ,0.6, , ,15.3
4550,0043580,4,38,44,0.7, , ,7.4, , , , , , , ,8.4, , , , , ,0.1, ,7.9,22.6
4551,0043585,1,0,11,3.1, , ,7.4, ,23.9, ,1.5,4.3,0.1, ,21.1, , , , , ,0.3, , , 
4552,0043589,6,50,62, , , ,7.4, , , , , , , ,9.7,33, , , , ,9, ,28.3,11
4553,0043590,4,36,46,0.8, , ,7.4, , , , , , , ,14.6, , , , , ,9, , , 
4554,0043592,4,37,44, , , ,7.4, , , , , , , ,14.7, , , , , ,19.9, ,15.9, 
4555,0043593,1,0,16,3.8, , ,7.4, , , , , , , ,25.4, , , , , ,0.3, , , 
4556,0043603,1,0,15,2.1, , ,7.4, , , , , , , ,12.1, , , , , ,0.2, ,3.9,2.6
4557,0043609,4,25,40, , , ,7.4, , , , , , , ,18.9,52, , , , ,9, ,25.2,12.1
4558,0043624,4,6,12,4.5, , ,7.4, , , , , , , ,30.5, , , , , ,0.4, ,2.5,31.1
4559,0043628,3,5,30,0.6, , ,7.4, , , , , , , , , , , , , ,9, , , 
4560,0043630,4,17,40,1.8, , ,7.4, , , , , , , , , , , , , ,9, ,9.1,6.6
4561,0043635,6,35,57, , , ,7.4, , , , , , , ,19.8, , , , , ,9, ,20.2,5.9
4562,0043635,9,90,110, , , ,7.4, , , , , , , ,3.1, , , , , ,9, ,5.4,1.5
4563,0043644,10,80,100, , , ,7.4, , , , , , , ,23.1, , , , , ,9, ,7.7,1.1
4564,0043644,8,50,64, , , ,7.4, , , , , , , ,27.5, , , , , ,9, ,3.3,0.7
4565,0043654,6,33,63, , , ,7.4, , , , , , , ,22.3, , , , , ,9, , , 
4566,0043655,7,50,70, , , ,7.4, , , , , , , ,11.4, , , , , ,9, ,9.5,5.3
4567,0043659,6,80, , , , ,7.4, , , , , , , ,18.9, , , , , ,9, ,14,4.3
4568,0043664,5,28,40, , , ,7.4, , , , , , , ,27.1, , , , , ,9, ,11.2,3.8
4569,0043672,8,48,80, , , ,7.4, , , , , , , ,31.9, , , , , ,9, ,6.9,2.6
4570,0043676,6,80,90, , , ,7.4, , , , , , , ,24.6, , , , , ,9, , , 
4571,0043684,7,40,50,0.6, , ,7.4, , , , , , , ,31.4, , , , , ,9, , , 
4572,0043687,3,8,15,1.5, , ,7.4, , , , , , , , , , , , , ,0.1, ,4.9,4.4
4573,0043688,6,145,160, , , ,7.4, , , , , , , ,13.5, , , , , ,9, , , 
4574,0043689,5,16,20,0.7, , ,7.4, , , , , , , ,17.5, , , , , ,9, ,3.4,3.6
4575,0043698,8,36,50, , , ,7.4, , , , , , , ,2.7, , , , , ,9, ,19.6,8.6
4576,0043699,7,67,80, , , ,7.4, , , , , , , , , , , , , ,9, ,11.8,2.8
4577,0043710,6,50,60,0.6, , ,7.4, , , , , , , ,32.5, , , , , ,0.1, ,1.6,3.5
4578,0043711,8,115,130,0.2, , ,7.4, , , , , , , ,28.3, , , , , ,9, ,2,2.8
4579,0043711,9,130, ,0.2, , ,7.4, , , , , , , ,27.7,55, , , , ,9, ,3,3.5
4580,0043714,4,90,110,1, ,7.8,7.4, , , , , , , , , , , , , ,0.1, ,8.8,2.8
4581,0043715,1,0,9,4.5, , ,7.4, , , , , , , ,44.2,54, , , , ,0.4, , , 
4582,0043715,2,9,20,4.1, , ,7.4, , , , , , , ,42.9,58, , , , ,0.3, , , 
4583,0043722,3,18,33,0.1, , ,7.4, ,1.9, ,0.1,0.5,0.1, ,2.9, ,0.7, , , ,9, , , 
4584,0043722,5,60,100, , , ,7.4, , , , , , , ,2.8, , , , , ,9, ,6.9,2.9
4585,0043733,2,0,3,2.9, , ,7.4, , , , , , , , , , , , , ,0.2, ,0.9,23.9
4586,0043743,3,3,15,1.7, , ,7.4, , , , , , , , , , , , , ,9, ,0.2,2.4
4587,0043748,8,55,75, ,8.6, ,7.4, , , , , , , ,27.7, , , , , ,9, ,2.1,6
