OID_,PROVINCE,DATASET_ID,PEDON_ID,CAL_YEAR,LOCALITY,CONF_METRS,ELEVATION,EXTENT,PURPOSE,CSSC_ORDER,CSSC_GTGRP,CSSC_SBGRP,CSSC_NAME,CSSC_CODE,TX_PHASE_1,TX_FIT,TX_FACTOR1,TX_FACTOR2,LANDUSE,DD_LAT_N,DD_LONG_N
4245,manitoba,004,0044164,1981, ,16, ,extensive,detailed,gleysol,gleysol, ,lop, ,Rego,modal, , ,cropland,49.8205490,-98.2078476
4246,manitoba,004,0044165,1981, ,16, , ,detailed,gleysol,gleysol, ,lop, ,Rego,modal,texture,texture,unproductive,49.8244209,-98.2628403
4247,manitoba,004,0044167,1981, ,16,715,extensive,detailed,chernozem,dark gray, ,mwk, ,Orthic,modal, , ,cropland,50.5049706,-99.9064178
4248,manitoba,004,0044168,1981, ,16,695,limited,detailed,gleysol,gleysol, ,hec, ,Rego,modal, , ,improved pasture,50.5360298,-99.8035812
4249,manitoba,004,0044169,1981, ,16,691,limited,exploratory,chernozem,black, ,vly, ,Eluviated,variant,colour,texture,cropland,51.4168396,-101.2665710
4250,manitoba,004,0044170,1981, ,16,630,limited,detailed,chernozem,black, ,hrd, ,Calcareous,variant,solum, ,cropland,50.6262703,-100.2975464
4251,manitoba,004,0044171,1981, ,16,741, ,detailed,luvisol,gray, ,cve, ,Orthic, , , ,productive,50.5017700,-99.6755295
4252,manitoba,004,0044172,1981, ,16,741, ,detailed,luvisol,gray, ,krl, ,Gleyed, , , ,productive,50.5020409,-99.6755295
4253,manitoba,004,0044173,1981, ,16,715,limited,detailed,chernozem,dark gray, ,swn, ,Gleyed,undecided,solum, ,cropland,50.5736313,-100.0708466
4254,manitoba,004,0044174,1981, ,16,707,extensive,detailed,chernozem,dark gray, ,rkm, ,Gleyed, , , ,cropland,50.5800514,-100.0766525
4255,manitoba,004,0044175,1981, ,16,698, ,detailed,organic,mesisol, ,cay, ,Terric Humic,modal, , ,improved pasture,50.9094315,-100.0906219
4256,manitoba,004,0044176,1981, ,16,691, ,detailed,chernozem,dark gray, ,zel, ,Gleyed,modal, , ,cropland,50.6313782,-100.0699005
4257,manitoba,004,0044177,1981, ,16,691, ,detailed,chernozem,dark gray, ,eck, ,Orthic,modal, , ,cropland,50.6229515,-100.0670166
4258,manitoba,004,0044178,1981, ,16,691, ,detailed,chernozem,black, ,bax, ,Rego,modal, , ,cropland,50.6168594,-100.0739517
4259,manitoba,004,0044179,1981, ,16,693,limited,detailed,chernozem,dark gray, ,oza, ,Orthic,modal, , ,cropland,50.6182594,-100.0687485
4260,manitoba,004,0044180,1981, ,16,695,limited,detailed,chernozem,dark gray, ,zel, ,Gleyed,modal, , ,cropland,50.6511002,-100.0669479
4261,manitoba,004,0044181,1981, ,16,700,very limited,detailed,chernozem,black, ,hrd, ,Orthic,taxadjunct, , ,cropland,50.6625099,-100.0683365
4262,manitoba,004,0044182,1981, ,16,698, ,detailed,chernozem,black, ,shh, ,Orthic,modal, , ,cropland,50.6738510,-100.0671768
4263,manitoba,004,0044183,1981, ,16,685,limited,detailed,chernozem,black, ,swf, ,Gleyed Rego,variant,texture,texture,cropland,50.6587181,-100.0890503
4264,manitoba,004,0044184,1981, ,151,374, ,detailed,organic,mesisol, ,rlx, ,Typic, , , ,fen,54.8113289,-101.8208694
4265,manitoba,004,0044185,1981, ,16,374,limited,detailed,brunisol,dystric, ,pcp, ,Eluviated,modal, , ,mines and quarries,54.7913895,-101.8389282
4266,manitoba,004,0044186,1981, ,16,374, ,detailed,organic,mesisol, ,atx, ,Terric Humic, , , ,bog,54.8114395,-101.8733292
4267,manitoba,004,0044187,1981, ,16,340, ,detailed,brunisol,dystric, ,pcp, ,Eluviated,modal, , ,productive,54.7441406,-101.8412094
4268,manitoba,004,0044188,1981, ,16,351, ,detailed,luvisol,gray, ,swk, ,Orthic,modal, , ,productive,54.7322083,-101.8360291
4269,manitoba,004,0044189,1981, ,16,327,limited,detailed,organic,mesisol, ,rex, ,Terric,modal, , , ,54.7578583,-101.8465271
4270,manitoba,004,0044190,1981, ,16,327,limited,detailed,gleysol,gleysol, ,mrd, ,Rego,modal, , ,fen,54.7579117,-101.8443604
4271,manitoba,004,0044191,1981, ,16,349, ,detailed,brunisol,dystric, ,fyl, ,Eluviated,modal, , ,mines and quarries,54.7451706,-101.8356934
4272,manitoba,004,0044192,1981, ,16,379,limited,exploratory,brunisol,dystric, ,wvt, ,Orthic,modal, , ,productive,54.8115807,-101.8598022
4273,manitoba,004,0044195,1981, ,151, ,very limited,reconnaisance,organic,fibrisol, ,jus, ,Typic,modal, , ,bog,49.5891190,-96.5098038
4274,manitoba,004,0044196,1981, ,151, ,limited,reconnaisance,organic,mesisol, ,crn, ,Typic,modal, , ,fen,49.6050491,-96.3999100
4275,manitoba,004,0044197,1981, ,151, ,limited,reconnaisance,organic,mesisol, ,std, ,Typic,modal, , ,fen,50.5325012,-97.8423767
4276,manitoba,004,0044198,1981, ,151,391,limited,semi-detailed,regosol,humic, ,ccs, ,Cumulic,variant,texture,texture,natural grazing,49.6710701,-99.1457825
4277,manitoba,004,0044199,1981, ,16,400, ,semi-detailed,chernozem,black, ,sck, ,Orthic,undecided, , , ,49.7388992,-99.2481232
4278,manitoba,004,0044200,1981, ,16,383, ,semi-detailed,regosol,humic, ,shx, ,Orthic,modal, , , ,49.7122612,-99.2524185
4279,manitoba,004,0044201,1981, ,151,408,limited,semi-detailed,organic,mesisol, ,per, ,Terric,modal, , ,outdoor recreation,49.7512817,-99.1628113
4280,manitoba,004,0044202,1981, ,151,349,limited,semi-detailed,gleysol,humic, ,bkr, ,Rego,modal, , ,improved pasture,49.6479416,-99.2595673
