"model","cv","n","n_obs","n_predicted","coverage","rmse","mae","bias","r2_cv","skill_null","skill_vs_cv_null"
"null","leave-one-core-out",8,8,8,1,2.26768483704309,1.99871521586,-5.55111512312578e-17,-0.306122448979592,-0.142857142857143,0
"ols:elevation","leave-one-core-out",8,8,8,1,1.46210676353256,1.22806278204463,-0.0296235607162349,0.457028950889335,0.263134307278005,0.355242518868255
"ols:elevation","leave-one-stratum-out",8,8,8,1,4.53941007120439,3.00979758834238,-2.8964392474523,-4.23380256099031,-1.28775054605836,
