dataset,profile_id,latitude,longitude,year,n_layers,total_depth_cm,stock_kgm2_total,stock_kgm2_0_30,surface_OrgC_pct,mean_BDOD,reaches_30cm,stock_0_30_is_lower_bound,dist_fort_severn_km,soil_type,soil_type_basis,in_hbl
NPDB,0470005,55.4798012,-111.209259,2011,5,100,0,0,13.8,0.08,TRUE,FALSE,1469.507875447087,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0470006,55.4711609,-111.2193069,2011,5,100,0,0,0.79,NA,TRUE,FALSE,1470.3283004694445,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0470007,55.4680214,-111.2053604,2011,2,50,0,0,NA,0.12,TRUE,FALSE,1469.5420952835557,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0470008,55.4751396,-111.1657028,2011,5,100,0.36,0.36,0.1,1.44,TRUE,FALSE,1466.9322217525416,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0470009,55.4670601,-111.1698303,2011,4,70,0,0,0.45,NA,TRUE,FALSE,1467.3748322972651,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0470010,55.4653091,-111.2327805,2011,5,100,0.8603200000000001,0.8603200000000001,0.32,1.0333333333333332,TRUE,FALSE,1471.295300981444,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0480001,55.4380302,-110.7913437,2010,5,65,0,0,1.68,NA,TRUE,FALSE,1444.7172744890322,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0480002,55.3985291,-110.9199219,2010,5,100,0,0,0.31,NA,TRUE,FALSE,1453.5779148189213,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0480003,55.4544601,-110.8666611,2010,5,100,0,0,0.18,NA,TRUE,FALSE,1448.9792092658472,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0480004,55.4536285,-110.9710999,2010,5,100,0,0,0.24,NA,TRUE,FALSE,1455.4379472617156,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0480005,55.4835281,-110.6978607,2010,1,220,0,0,43.3,NA,TRUE,FALSE,1437.9003315625926,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0480006,55.4640694,-110.7550812,2010,2,100,0,0,34.1,NA,TRUE,FALSE,1441.876278387892,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0480007,55.400589,-110.9789963,2010,3,180,0,0,42.5,NA,TRUE,FALSE,1457.1731053825654,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0480008,55.4849396,-110.7624817,2010,5,60,0,0,NA,NA,TRUE,FALSE,1441.8520095516603,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0480009,55.4841805,-110.7600632,2010,5,100,0,0,0.21,NA,TRUE,FALSE,1441.7203274528072,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0480010,55.46735,-110.7368164,2010,2,220,0,0,43.8,NA,TRUE,FALSE,1440.6742806380494,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0490001,51.3836098,-116.1708298,1975,8,105,0,0,39.5,NA,TRUE,FALSE,1932.465133230531,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0490002,52.9249992,-118.0250015,1975,5,110,0,0,5.2,NA,TRUE,FALSE,1976.9525065557748,mineral,NPDB has_organic_horizon flag,FALSE
NPDB,0490003,53.07444,-118.0455627,1976,2,50,0,0,0.1,NA,TRUE,FALSE,1972.0165826786354,mineral,NPDB has_organic_horizon flag,FALSE
NPDB,0490004,52.9966698,-118.0733337,1976,8,95,0,0,2.9,NA,TRUE,FALSE,1976.9586702276176,mineral,NPDB has_organic_horizon flag,FALSE
NPDB,0490005,51.1752815,-115.6236115,1976,5,91,0,0,31.9,NA,TRUE,FALSE,1909.0373957169877,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0490006,51.7116699,-116.2977829,1977,5,75,0,0,NA,NA,TRUE,FALSE,1924.272633610779,mineral,NPDB has_organic_horizon flag,FALSE
NPDB,0490007,51.1822205,-115.9583282,1977,6,99,5.795999999999999,4.396,15.9,1.55,TRUE,FALSE,1929.4258990961694,mineral,NPDB has_organic_horizon flag,FALSE
NPDB,0490008,53.1361084,-117.9713898,1978,8,110,0,0,5.4,NA,TRUE,FALSE,1964.8850933076556,mineral,NPDB has_organic_horizon flag,FALSE
NPDB,0490009,52.2066689,-117.1769409,1978,3,60,0,0,7.7,NA,TRUE,FALSE,1955.7013123040895,mineral,NPDB has_organic_horizon flag,FALSE
NPDB,0490010,51.5550003,-115.5733337,1978,3,50,0,0,4.2,NA,TRUE,FALSE,1886.9210541996883,mineral,NPDB has_organic_horizon flag,FALSE
NPDB,0490011,51.4794388,-115.7225037,1978,3,106,0,0,26.5,NA,TRUE,FALSE,1899.8966992557878,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0490012,51.720829,-116.5047226,1978,5,105,0,0,10.2,2.1,TRUE,FALSE,1936.6840039315805,mineral,NPDB has_organic_horizon flag,FALSE
NPDB,0490013,51.8130608,-116.632782,1978,5,110,0,0,4.1,NA,TRUE,FALSE,1940.2256689779463,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0490014,51.746109,-116.5408325,1978,6,70,0,0,0.2,NA,TRUE,FALSE,1937.712895553579,mineral,NPDB has_organic_horizon flag,FALSE
NPDB,0490015,52.4644394,-117.4783325,1979,8,120,0,0,36.3,NA,TRUE,FALSE,1962.851222810062,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0490016,53.4269409,-118.9330597,1979,6,135,4.1850000000000005,0,0.5,1.7999999999999998,TRUE,FALSE,2012.8080529292658,mineral,NPDB has_organic_horizon flag,FALSE
NPDB,0490017,53.0127792,-118.6491699,1979,4,100,10.632000000000001,8.728000000000002,5.2,1.5666666666666667,TRUE,FALSE,2012.02018745718,mineral,NPDB has_organic_horizon flag,FALSE
NPDB,0490018,53.0263901,-118.6399994,1979,4,120,0,0,NA,NA,TRUE,FALSE,2010.8853477507598,mineral,NPDB has_organic_horizon flag,FALSE
NPDB,0490019,52.6208305,-117.9991684,1979,8,100,0,0,2.4,NA,TRUE,FALSE,1988.34805458144,mineral,NPDB has_organic_horizon flag,FALSE
NPDB,0490020,52.8652802,-117.9333267,1979,7,135,3.432000000000001,3.432000000000001,13.9,1.7,TRUE,FALSE,1973.7751733189511,mineral,NPDB has_organic_horizon flag,FALSE
NPDB,0490021,52.8502808,-117.9005585,1979,7,125,22.589999999999996,2.5499999999999994,15.4,1.4666666666666668,TRUE,FALSE,1972.374767064885,mineral,NPDB has_organic_horizon flag,FALSE
NPDB,0490022,53.0633316,-118.7563934,1979,8,105,7.125000000000002,0,39.7,1.5,TRUE,FALSE,2016.5734078634648,organic,NPDB has_organic_horizon flag,FALSE
NPDB,0490023,52.7116699,-117.1255569,1979,4,109,16.392,8.219999999999999,6.4,1.25,TRUE,FALSE,1930.1450860990692,mineral,NPDB has_organic_horizon flag,FALSE
NPDB,0490024,52.6425018,-117.1624985,1979,3,100,0,0,12,1.2,TRUE,FALSE,1935.4249010434776,mineral,NPDB has_organic_horizon flag,FALSE
NPDB,0490025,52.7708282,-118.148613,1979,6,123,0,0,13.1,NA,TRUE,FALSE,1991.158717328204,mineral,NPDB has_organic_horizon flag,FALSE
