"covariate","importance"
"tpi_2km",1.08852571203152
"tpi_300m",0.705002729623318
"s2_ndvi",0.603886753000553
"s1_vv",0.463041377112485
"elevation",0.30258070822748
"water_occurrence",0
"slope_deg",-0.15593060037562
"dist_coast_m",-0.189048383759728
"s1_vh",-0.376020469680287
