"core_id","campaign","latitude","longitude","lon_repaired","core_depth_cm","stock_kgm2","any_bd_flagged","n_segments","stock_is_lower_bound","elevation","slope_deg","tpi_300m","tpi_2km","dist_coast_m","s1_vv","s1_vh","s2_ndvi","water_occurrence"
"FS-01","mineral",55.965999,-87.6282,TRUE,30,14.2630045832,FALSE,3,FALSE,48.7287559509277,0.0447893515229225,-0.0059967041015625,-0.0255966186523438,1072.47985839844,-10.8089065551758,-17.7299518585205,0.793814420700073,0
"FS-02","mineral",55.992611,-87.62825,TRUE,30,8.3815614382,FALSE,3,FALSE,46.5219039916992,0.0449406132102013,0.00026702880859375,-0.0108871459960938,211.79328918457,-9.30001640319824,-16.2721900939941,0.548418581485748,0
"FS-03","mineral",56.128917,-87.87181,TRUE,30,4.2223031185,TRUE,3,FALSE,38.369197845459,0.0423409081995487,-0.005340576171875,-0.0199089050292969,1038.44458007812,-11.2321996688843,-18.8602523803711,0.596131086349487,0
"FS-04","mineral",56.074278,-87.79556,TRUE,30,8.7587719396,FALSE,3,FALSE,41.6637306213379,0.0430156067013741,-0.00776290893554688,-0.0280418395996094,2347.6279296875,-11.0428161621094,-20.1325016021729,0.685979127883911,9
"FS-05","mineral",56.079389,-87.75622,TRUE,30,6.105449784,TRUE,3,FALSE,40.7674789428711,0.0436283238232136,-0.00129318237304688,0.0152969360351562,2540.87890625,-10.5780258178711,-17.8107490539551,0.608258068561554,0
"PM-01-A","peat",56.098575,-87.67978,TRUE,14.5,3.0578035,FALSE,1,TRUE,38.1807250976562,0.0449033603072166,-0.00407791137695312,-0.00529861450195312,1705.20764160156,-10.8781852722168,-17.6679344177246,0.539531648159027,0
"PM-02-A","peat",56.0996361,-87.65064,TRUE,20.7,3.0833445,FALSE,2,TRUE,37.7204170227051,0.0453273057937622,-3.814697265625e-06,-0.00259780883789062,454.853393554688,-11.7120304107666,-17.82692527771,0.581729650497437,0
"PM-03-A","peat",56.1103556,-87.67839,TRUE,30.725,10.194275475,FALSE,4,FALSE,37.1679420471191,0.0450082421302795,-0.00875091552734375,-0.0268020629882812,747.670532226562,-10.7462882995605,-18.4136848449707,0.613266110420227,0
