"model","cv","n","n_obs","n_predicted","coverage","rmse","mae","bias","r2_cv","skill_null","skill_vs_cv_null"
"null","leave-one-core-out",8,8,8,1,2.26768483704309,1.99871521586,-1.11022302462516e-16,-0.306122448979592,-0.142857142857143,0
"ols:elevation","leave-one-core-out",8,8,8,1,1.46210676353256,1.22806278204463,-0.0296235607162358,0.457028950889334,0.263134307278005,0.355242518868254
"ols:elevation","leave-one-stratum-out",8,8,8,1,4.53941007120442,3.00979758834239,-2.89643924745232,-4.23380256099037,-1.28775054605837,
