"pedon_id","province","cal_year","latitude","longitude","conf_metrs","has_organic_horizon","std_stock_kgm2","std_stock_complete","dist_fort_severn_km","flag_location_conf_poor"
720003,"alberta",1986,54.3638611,-114.6391678,10000,TRUE,1.5948,TRUE,1712.93105785826,TRUE
720005,"alberta",1986,54.3336906,-114.6257782,10000,TRUE,13.356,TRUE,1713.09485955652,TRUE
720007,"alberta",1986,54.2555084,-114.7292404,10000,FALSE,5.885,TRUE,1722.1023738622,TRUE
720009,"alberta",1986,54.2718201,-114.6527176,10000,TRUE,15.96,TRUE,1716.81719466018,TRUE
720011,"alberta",1986,54.3123703,-114.5271606,10000,FALSE,10.8535,TRUE,1707.69311231281,TRUE
720014,"alberta",1986,54.2835617,-114.5029678,10000,FALSE,18.2912,TRUE,1707.15098687561,TRUE
720017,"alberta",1986,54.3252296,-114.523819,10000,TRUE,16.956,TRUE,1707.06105616137,TRUE
720018,"alberta",1986,54.2614288,-114.549942,10000,TRUE,22.752,TRUE,1710.79886359128,TRUE
720019,"alberta",1986,54.27882,-114.5778122,10000,TRUE,24.8925,TRUE,1711.94447365343,TRUE
800001,"alberta",1975,56.2333298,-117.4333267,10000,FALSE,6.3,TRUE,1832.66539272699,TRUE
840001,"alberta",2008,56.8835983,-112.1889267,10000,TRUE,19.44,TRUE,1503.95134763159,TRUE
840006,"alberta",2010,56.9170113,-112.1104431,10000,TRUE,1.6695,TRUE,1498.79067293194,TRUE
840007,"alberta",2010,56.7973404,-112.2334824,10000,TRUE,7.9056,TRUE,1507.78940813247,TRUE
840010,"alberta",2010,56.9220009,-112.1068115,10000,TRUE,0.9966,TRUE,1498.50899630993,TRUE
840011,"alberta",2009,56.8856697,-112.251358,10000,TRUE,15.48,TRUE,1507.6912598129,TRUE
860010,"alberta",2010,56.7407799,-111.2493591,10000,TRUE,8.463,TRUE,1449.0116463045,TRUE
860011,"alberta",2010,56.7535019,-111.1785278,10000,TRUE,2.019,TRUE,1444.55729710596,TRUE
870018,"alberta",1986,55,-114,10000,TRUE,2.35608,TRUE,1653.9711465934,TRUE
